sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,rl,from_m,to_m,interval_m,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
RC.BH19.078,960.0,rc,Shamkya,An1,498794.926,2144447.1,257.51,77.0,78.0,1.0,0.005,5.6,0.14,0.21,6.3,95.0,7.7,0.02,True
RC.BH19.079,961.0,rc,Shamkya,An1,498794.926,2144447.1,256.51,78.0,79.0,1.0,0.01,3.8,0.13,0.27,26.9,174.0,5.9,0.11,False
RC.BH19.080,962.0,rc,Shamkya,An1,498794.926,2144447.1,255.51,79.0,80.0,1.0,0.005,4.6,0.17,0.19,15.6,170.0,7.1,0.07,True
RC.BH19.081,963.0,rc,Shamkya,An1,498794.926,2144447.1,254.51,80.0,81.0,1.0,0.01,2.5,0.06,0.08,2.3,135.0,5.8,0.02,False
RC.BH19.082,964.0,rc,Shamkya,An1,498794.926,2144447.1,253.51,81.0,82.0,1.0,0.005,1.0,0.06,0.1,5.4,112.0,6.1,0.02,True
RC.BH19.083,965.0,rc,Shamkya,An1,498794.926,2144447.1,252.51,82.0,83.0,1.0,0.01,1.8,0.08,0.18,53.1,113.0,3.1,0.06,False
RC.BH20.017,966.0,rc,Shamkya,An1,498835.585,2144410.407,318.652,16.0,17.0,1.0,0.005,0.4,0.025,0.05,10.2,56.0,5.3,0.02,True
RC.BH20.018,967.0,rc,Shamkya,An1,498835.585,2144410.407,317.652,17.0,18.0,1.0,0.005,0.7,0.06,0.06,12.2,52.0,5.1,0.03,True
RC.BH20.019,968.0,rc,Shamkya,An1,498835.585,2144410.407,316.652,18.0,19.0,1.0,0.01,0.8,0.08,0.09,27.0,55.0,4.8,0.05,False
RC.BH20.020,969.0,rc,Shamkya,An1,498835.585,2144410.407,315.652,19.0,20.0,1.0,0.005,0.8,0.07,0.09,52.9,74.0,8.3,0.03,True
RC.BH20.021,970.0,rc,Shamkya,An1,498835.585,2144410.407,314.652,20.0,21.0,1.0,0.01,5.0,0.13,0.13,97.7,61.0,9.8,0.05,False
RC.BH20.022,971.0,rc,Shamkya,An1,498835.585,2144410.407,313.652,21.0,22.0,1.0,0.01,2.8,0.11,0.08,27.1,50.0,8.4,0.04,False
RC.BH20.023,972.0,rc,Shamkya,An1,498835.585,2144410.407,312.652,22.0,23.0,1.0,0.01,2.3,0.09,0.27,58.4,114.0,8.8,0.06,False
RC.BH20.024,973.0,rc,Shamkya,An1,498835.585,2144410.407,311.652,23.0,24.0,1.0,0.01,1.9,0.08,0.1,36.6,79.0,9.0,0.05,False
RC.BH20.025,974.0,rc,Shamkya,An1,498835.585,2144410.407,310.652,24.0,25.0,1.0,0.01,13.7,0.12,0.16,17.6,60.0,9.4,0.07,False
RC.BH20.026,975.0,rc,Shamkya,An1,498835.585,2144410.407,309.652,25.0,26.0,1.0,0.08,44.5,0.18,0.61,16.4,37.0,8.2,0.1,False
,976.0,rc,Shamkya,An1,498835.585,2144410.407,299.652,35.0,36.0,1.0,0.67,40.1,0.21,1.04,78.5,259.0,26.7,0.68,False
RC.BH20.027,977.0,rc,Shamkya,An1,498835.585,2144410.407,308.652,26.0,27.0,1.0,0.01,1.0,0.06,0.12,41.6,77.0,7.4,0.05,False
RC.BH20.028,978.0,rc,Shamkya,An1,498835.585,2144410.407,307.652,27.0,28.0,1.0,0.01,0.6,0.08,0.13,80.1,63.0,4.5,0.08,False
RC.BH20.029,979.0,rc,Shamkya,An1,498835.585,2144410.407,306.652,28.0,29.0,1.0,0.01,0.4,0.05,0.06,19.0,66.0,6.5,0.03,False
RC.BH20.030,980.0,rc,Shamkya,An1,498835.585,2144410.407,305.652,29.0,30.0,1.0,0.01,0.5,0.07,0.11,29.2,117.0,9.0,0.04,False
RC.BH20.031,981.0,rc,Shamkya,An1,498835.585,2144410.407,304.652,30.0,31.0,1.0,0.01,0.7,0.12,0.13,10.1,52.0,8.5,0.04,False
RC.BH20.032,982.0,rc,Shamkya,An1,498835.585,2144410.407,303.652,31.0,32.0,1.0,0.01,1.2,0.08,0.12,11.4,39.0,11.5,0.05,False
RC.BH20.033,983.0,rc,Shamkya,An1,498835.585,2144410.407,302.652,32.0,33.0,1.0,0.05,3.0,0.09,0.17,16.2,92.0,34.1,0.11,False
RC.BH20.034,984.0,rc,Shamkya,An1,498835.585,2144410.407,301.652,33.0,34.0,1.0,0.02,3.6,0.12,0.16,20.1,49.0,13.9,0.25,False
RC.BH20.035,985.0,rc,Shamkya,An1,498835.585,2144410.407,300.652,34.0,35.0,1.0,5.93,36.1,0.26,59.6,421.0,121.0,207.0,10.8,False
RC.BH20.036,986.0,rc,Shamkya,An1,498835.585,2144410.407,299.652,35.0,36.0,1.0,0.82,43.6,0.2,1.17,75.8,259.0,33.2,0.8,False
,987.0,rc,Shamkya,An1,,,,,,,0.01,0.3,0.025,0.03,2.4,9.0,11.6,0.02,True
RC.BH20.037,988.0,rc,Shamkya,An1,498835.585,2144410.407,298.652,36.0,37.0,1.0,0.1,32.9,0.21,0.69,85.6,94.0,11.0,0.22,False
RC.BH20.038,989.0,rc,Shamkya,An1,498835.585,2144410.407,297.652,37.0,38.0,1.0,0.01,3.3,0.08,1.21,37.8,106.0,26.1,0.26,False
RC.BH20.039,990.0,rc,Shamkya,An1,498835.585,2144410.407,296.652,38.0,39.0,1.0,0.01,9.8,0.09,0.49,12.9,94.0,20.2,0.27,False
RC.BH20.040,991.0,rc,Shamkya,An1,498835.585,2144410.407,295.652,39.0,40.0,1.0,0.01,9.9,0.13,0.32,51.6,66.0,10.3,0.23,False
RC.BH20.041,992.0,rc,Shamkya,An1,498835.585,2144410.407,294.652,40.0,41.0,1.0,0.005,11.5,0.15,0.28,21.3,94.0,14.0,0.14,True
RC.BH20.042,993.0,rc,Shamkya,An1,498835.585,2144410.407,293.652,41.0,42.0,1.0,0.01,6.3,0.13,0.27,56.1,124.0,9.9,0.22,False
RC.BH20.043,994.0,rc,Shamkya,An1,498835.585,2144410.407,292.652,42.0,43.0,1.0,0.005,11.8,0.18,0.23,56.8,90.0,10.6,0.18,True
RC.BH20.044,995.0,rc,Shamkya,An1,498835.585,2144410.407,291.652,43.0,44.0,1.0,0.01,6.8,0.12,0.2,24.0,75.0,11.3,0.12,False
RC.BH20.045,996.0,rc,Shamkya,An1,498835.585,2144410.407,290.652,44.0,45.0,1.0,0.005,2.2,0.1,0.35,11.4,103.0,13.4,0.11,True
RC.BH20.046,997.0,rc,Shamkya,An1,498835.585,2144410.407,289.652,45.0,46.0,1.0,0.005,4.5,0.13,0.43,12.5,93.0,16.2,0.13,True
RC.BH20.047,998.0,rc,Shamkya,An1,498835.585,2144410.407,288.652,46.0,47.0,1.0,0.005,7.8,0.18,1.15,14.2,131.0,21.6,0.25,True
RC.BH20.048,999.0,rc,Shamkya,An1,498835.585,2144410.407,287.652,47.0,48.0,1.0,0.005,3.0,0.16,5.56,16.1,95.0,28.3,0.51,True
RC.BH20.049,1000.0,rc,Shamkya,An1,498835.585,2144410.407,286.652,48.0,49.0,1.0,0.005,4.7,0.21,0.91,36.2,154.0,18.9,0.24,True
,1001.0,rc,Shamkya,An1,498835.585,2144410.407,295.652,39.0,40.0,1.0,0.01,9.3,0.12,0.53,60.7,71.0,12.4,0.41,False
RC.BH20.050,1002.0,rc,Shamkya,An1,498835.585,2144410.407,285.652,49.0,50.0,1.0,0.005,2.2,0.1,0.25,42.9,110.0,6.9,0.11,True
RC.BH20.051,1003.0,rc,Shamkya,An1,498835.585,2144410.407,284.652,50.0,51.0,1.0,0.01,4.7,0.18,0.22,48.7,77.0,5.8,0.14,False
RC.BH20.052,1004.0,rc,Shamkya,An1,498835.585,2144410.407,283.652,51.0,52.0,1.0,0.005,1.7,0.08,0.19,55.9,95.0,6.1,0.09,True
RC.BH20.053,1005.0,rc,Shamkya,An1,498835.585,2144410.407,282.652,52.0,53.0,1.0,0.005,4.1,0.16,0.31,73.1,127.0,6.6,0.14,True
RC.BH20.054,1006.0,rc,Shamkya,An1,498835.585,2144410.407,281.652,53.0,54.0,1.0,0.06,8.7,0.18,2.03,10.0,116.0,29.7,0.36,False
RC.BH20.055,1007.0,rc,Shamkya,An1,498835.585,2144410.407,280.652,54.0,55.0,1.0,0.005,9.6,0.26,1.21,25.3,98.0,12.2,0.21,True
,1008.0,rc,Shamkya,An1,,,,,,,0.005,0.2,0.025,0.02,2.2,5.0,12.6,0.01,True
RC.BH20.056,1009.0,rc,Shamkya,An1,498835.585,2144410.407,279.652,55.0,56.0,1.0,0.005,29.0,0.29,0.45,23.6,97.0,7.6,0.13,True
RC.BH20.057,1010.0,rc,Shamkya,An1,498835.585,2144410.407,278.652,56.0,57.0,1.0,0.01,40.1,0.36,0.74,132.0,72.0,6.6,0.24,False
RC.BH20.058,1011.0,rc,Shamkya,An1,498835.585,2144410.407,277.652,57.0,58.0,1.0,0.01,93.6,0.52,0.35,54.0,73.0,7.8,0.16,False
RC.BH20.059,1012.0,rc,Shamkya,An1,498835.585,2144410.407,276.652,58.0,59.0,1.0,0.005,18.7,0.31,0.45,69.8,159.0,6.2,0.17,True
RC.BH20.060,1013.0,rc,Shamkya,An1,498835.585,2144410.407,275.652,59.0,60.0,1.0,0.005,4.9,0.12,0.5,43.6,133.0,13.7,0.12,True
RC.BH20.061,1014.0,rc,Shamkya,An1,498835.585,2144410.407,274.652,60.0,61.0,1.0,0.005,2.5,0.13,0.25,20.6,158.0,5.2,0.06,True
RC.BH20.062,1015.0,rc,Shamkya,An1,498835.585,2144410.407,273.652,61.0,62.0,1.0,0.01,1.1,0.08,0.38,12.3,167.0,4.6,0.06,False
RC.BH20.063,1016.0,rc,Shamkya,An1,498835.585,2144410.407,272.652,62.0,63.0,1.0,0.01,1.8,0.15,1.2,10.2,155.0,6.6,0.07,False
RC.BH20.064,1017.0,rc,Shamkya,An1,498835.585,2144410.407,271.652,63.0,64.0,1.0,0.01,6.3,0.34,0.4,38.5,167.0,7.6,0.25,False
RC.BH20.065,1018.0,rc,Shamkya,An1,498835.585,2144410.407,270.652,64.0,65.0,1.0,0.005,1.3,0.12,0.12,9.8,156.0,3.9,0.05,True
RC.BH20.066,1019.0,rc,Shamkya,An1,498835.585,2144410.407,269.652,65.0,66.0,1.0,0.005,2.2,0.19,0.35,107.0,218.0,6.2,0.15,True
RC.BH20.067,1020.0,rc,Shamkya,An1,498835.585,2144410.407,268.652,66.0,67.0,1.0,0.005,12.1,0.33,0.22,30.8,133.0,7.3,0.17,True
RC.BH20.068,1021.0,rc,Shamkya,An1,498835.585,2144410.407,267.652,67.0,68.0,1.0,0.01,52.5,0.63,0.27,76.8,182.0,11.0,0.38,False
RC.BH20.069,1022.0,rc,Shamkya,An1,498835.585,2144410.407,266.652,68.0,69.0,1.0,0.005,15.1,0.23,0.05,49.9,78.0,1.6,0.07,True
