sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
T2-TR14-020,AN6/469,trench,Shamkya,An6,,,5.0,0.01,19.0,11.1,4.79,3.8,30.0,3.38,True
T2-TR14-024,AN6/470,trench,Shamkya,An6,,,5.0,0.01,5.2,7.77,4.09,2.9,10.5,1.04,True
T2-TR14-025,AN6/471,trench,Shamkya,An6,,,5.0,0.01,3.6,5.81,3.68,3.2,6.9,0.51,True
T2-TR14-026,AN6/472,trench,Shamkya,An6,,,5.0,0.01,13.5,7.96,5.33,3.1,19.1,2.68,True
T2-TR14-027,AN6/473,trench,Shamkya,An6,,,5.0,0.01,12.4,15.45,3.7,3.2,9.0,2.39,True
T2-TR14-028,AN6/474,trench,Shamkya,An6,,,5.0,0.01,12.8,15.2,4.12,3.6,10.4,2.78,True
Triplicate(T2-TR13-007),AN6/475,trench,Shamkya,An6,,,5.0,0.01,2.7,2.61,2.91,1.3,6.1,0.69,True
Blank,AN6/476,trench,Shamkya,An6,,,5.0,0.01,0.1,0.16,0.3,0.25,6.5,0.18,True
T2-TR14-029,AN6/477,trench,Shamkya,An6,,,5.0,0.01,8.1,9.94,3.67,2.1,32.9,2.18,True
T2-TR15-002,AN6/478,trench,Shamkya,An6,,,5.0,0.01,13.7,6.46,3.46,3.5,2.6,2.28,True
T2-TR15-003,AN6/479,trench,Shamkya,An6,,,5.0,0.01,17.6,8.59,3.58,3.2,3.4,2.55,True
T2-TR15-004,AN6/480,trench,Shamkya,An6,,,5.0,0.01,12.0,7.51,4.02,2.7,3.3,2.65,True
T2-TR15-005,AN6/481,trench,Shamkya,An6,,,5.0,0.01,13.2,8.22,3.78,3.0,2.8,2.45,True
T2-TR15-006,AN6/482,trench,Shamkya,An6,,,5.0,0.01,16.3,10.0,4.41,3.0,3.1,2.78,True
T2-TR15-007,AN6/483,trench,Shamkya,An6,,,5.0,0.01,16.5,10.75,5.11,2.9,3.3,3.13,True
T2-TR15-008,AN6/484,trench,Shamkya,An6,,,5.0,0.01,19.3,11.55,5.35,3.4,1.5,3.3,True
T2-TR15-009,AN6/485,trench,Shamkya,An6,,,5.0,0.01,17.0,12.2,4.52,4.0,1.5,2.91,True
T2-TR15-010,AN6/486,trench,Shamkya,An6,,,5.0,0.01,16.4,13.45,4.42,4.0,2.3,2.88,True
T2-TR15-011,AN6/487,trench,Shamkya,An6,,,5.0,0.01,16.1,10.7,4.59,5.0,5.2,2.79,True
T2-TR15-012,AN6/488,trench,Shamkya,An6,,,5.0,0.01,11.3,10.6,4.49,3.4,11.3,2.49,True
T2-TR15-013,AN6/489,trench,Shamkya,An6,,,5.0,0.01,20.4,11.35,6.03,3.8,28.1,3.63,True
T2-TR15-014,AN6/490,trench,Shamkya,An6,,,5.0,0.01,5.8,7.28,2.73,1.9,7.4,1.46,True
T2-TR15-015,AN6/491,trench,Shamkya,An6,,,5.0,0.01,1.0,3.15,1.45,4.5,9.2,1.49,True
T2-TR15-016,AN6/492,trench,Shamkya,An6,,,5.0,0.02,7.0,5.81,5.36,1.8,9.6,1.03,True
T2-TR15-017,AN6/493,trench,Shamkya,An6,,,5.0,0.09,7.5,7.26,6.9,4.0,9.9,0.7,True
T2-TR15-018,AN6/494,trench,Shamkya,An6,,,5.0,0.05,8.4,6.95,7.25,11.5,12.5,1.33,True
Duplicate of(T2-TR15-016),AN6/495,trench,Shamkya,An6,,,5.0,0.01,6.8,5.68,5.37,1.7,9.3,1.04,True
Blank,AN6/496,trench,Shamkya,An6,,,5.0,0.01,0.1,0.13,0.31,0.25,7.1,0.19,True
T2-TR15-019,AN6/497,trench,Shamkya,An6,,,5.0,0.02,3.5,3.04,3.87,3.9,8.6,0.92,True
T2-TR15-020,AN6/498,trench,Shamkya,An6,,,5.0,0.02,7.0,2.25,4.61,3.7,10.2,1.7,True
T2-TR15-021,AN6/499,trench,Shamkya,An6,,,5.0,0.01,11.8,3.32,4.9,2.7,12.0,3.45,True
T2-TR15-022,AN6/500,trench,Shamkya,An6,,,5.0,0.01,13.0,3.08,4.42,3.4,10.3,2.68,True
T2-TR15-023,AN6/501,trench,Shamkya,An6,,,5.0,0.01,12.1,6.34,4.07,3.1,5.6,2.67,True
T2-TR16-002,AN6/502,trench,Shamkya,An6,,,5.0,0.01,15.3,14.25,3.72,2.8,7.6,2.83,True
T2-TR16-003,AN6/503,trench,Shamkya,An6,,,5.0,0.01,20.9,12.4,4.18,3.0,2.9,3.24,True
T2-TR16-004,AN6/504,trench,Shamkya,An6,,,5.0,0.01,13.5,9.8,4.5,2.8,8.4,2.94,True
T2-TR16-005,AN6/505,trench,Shamkya,An6,,,5.0,0.01,12.7,13.0,4.19,2.5,9.5,2.74,True
T2-TR16-006,AN6/506,trench,Shamkya,An6,,,5.0,0.01,10.7,10.15,4.58,3.0,31.2,3.04,True
T2-TR16-007,AN6/507,trench,Shamkya,An6,,,5.0,0.01,5.6,5.56,4.64,1.8,9.3,0.85,True
T2-TR16-008,AN6/508,trench,Shamkya,An6,,,5.0,0.02,11.4,9.41,6.31,2.4,43.4,2.44,True
T2-TR16-009,AN6/509,trench,Shamkya,An6,,,5.0,0.01,11.4,5.93,5.05,2.3,26.1,2.77,True
T2-TR16-010,AN6/510,trench,Shamkya,An6,,,5.0,0.01,7.2,2.9,4.4,2.2,23.1,2.24,True
T2-TR16-011,AN6/511,trench,Shamkya,An6,,,5.0,0.01,15.4,15.75,4.32,2.0,4.0,2.92,True
T2-TR16-012,AN6/512,trench,Shamkya,An6,,,5.0,0.03,7.3,7.4,4.49,1.8,16.6,2.51,True
T2-TR16-013,AN6/513,trench,Shamkya,An6,,,5.0,0.01,15.2,6.43,5.68,2.2,42.7,3.94,True
Duplicate of(T2-TR16-021),AN6/514,trench,Shamkya,An6,,,5.0,0.01,7.7,11.05,4.35,2.6,8.4,0.75,True
T2-TR16-014,AN6/515,trench,Shamkya,An6,,,5.0,0.01,21.3,10.4,5.49,2.6,27.4,3.93,True
T2-TR16-015,AN6/516,trench,Shamkya,An6,,,5.0,0.01,18.2,7.47,6.97,2.2,41.4,4.11,True
T2-TR16-016,AN6/517,trench,Shamkya,An6,,,5.0,0.01,6.4,9.67,5.93,2.1,12.8,1.51,True
T2-TR16-017,AN6/518,trench,Shamkya,An6,,,5.0,0.01,5.3,2.3,3.96,2.9,25.4,1.38,True
T2-TR16-018,AN6/519,trench,Shamkya,An6,,,5.0,0.01,11.1,7.97,6.48,2.3,6.6,2.95,True
T2-TR16-019,AN6/520,trench,Shamkya,An6,,,5.0,0.01,12.6,4.38,5.95,0.8,10.5,2.03,True
T2-TR16-020,AN6/521,trench,Shamkya,An6,,,5.0,0.01,12.7,9.2,5.87,2.5,20.3,1.79,True
T2-TR16-021,AN6/522,trench,Shamkya,An6,,,5.0,0.01,7.9,11.65,4.39,2.5,8.7,0.74,True
Blank,AN6/523,trench,Shamkya,An6,,,5.0,0.01,0.1,0.15,0.38,0.25,7.7,0.23,True
T2-TR16-022,AN6/524,trench,Shamkya,An6,,,5.0,0.01,10.7,14.7,4.65,6.3,10.1,0.94,True
T2-TR16-023,AN6/525,trench,Shamkya,An6,,,5.0,0.01,6.1,11.65,3.63,3.4,12.4,1.12,True
T2-TR16-024,AN6/526,trench,Shamkya,An6,,,5.0,0.01,8.7,12.45,4.26,3.6,19.5,1.67,True
T2-TR16-025,AN6/527,trench,Shamkya,An6,,,5.0,0.01,8.8,10.75,3.01,2.4,14.7,2.11,True
T2-TR17-001,AN6/528,trench,Shamkya,An6,,,5.0,0.01,7.8,7.37,3.73,2.1,46.8,2.38,True
T2-TR17-002,AN6/529,trench,Shamkya,An6,,,5.0,0.01,12.1,15.5,4.2,2.5,8.7,2.45,True
