sample_id,lab_id,sample_type,project_area,anomaly_id,easting,northing,au_ppm,as_ppm,sb_ppm,bi_ppm,cu_ppm,zn_ppm,pb_ppm,ag_ppm,below_detection
Q117,659.0,chip,Shamkya,An6,481766.0,2139707.0,0.001,3.0,1.0,1.0,16.0,12.0,4.0,0.1,True
Q118,660.0,chip,Shamkya,An6,493679.0,2140502.0,0.001,1.0,1.0,1.0,5.0,2.0,1.0,0.1,True
Q119,661.0,chip,Shamkya,An6,481409.0,2138789.0,0.001,4.0,1.0,1.0,19.0,3.0,1.0,0.1,True
Q120,662.0,chip,Shamkya,An6,493708.0,2140499.0,3.71,7.0,1.0,108.0,,69.0,337.0,12.1,True
Q121,663.0,chip,Shamkya,An6,494077.0,2134495.0,0.01,2.0,1.0,1.0,114.0,6.0,2.0,0.2,True
Q122,664.0,chip,Shamkya,An6,491449.0,2142616.0,0.001,2.0,2.0,1.0,5.0,1.0,1.0,0.2,True
Q123,665.0,chip,Shamkya,An6,493866.0,2134807.0,0.82,25.0,1.0,17.0,283.0,74.0,100.0,6.8,True
Q124,666.0,chip,Shamkya,An6,493899.0,2134708.0,0.01,1.0,1.0,1.0,22.0,4.0,1.0,0.1,True
Q125,667.0,chip,Shamkya,An6,494062.0,2146801.0,0.001,2.0,1.0,1.0,50.0,19.0,3.0,0.1,True
Q126,668.0,chip,Shamkya,An6,497073.0,2146817.0,0.001,1.0,1.0,1.0,3.0,1.0,1.0,0.1,True
Q127,669.0,chip,Shamkya,An6,498925.0,2144325.0,0.05,6.0,1.0,1.0,194.0,46.0,19.0,0.3,True
Q128,670.0,chip,Shamkya,An6,497228.0,2146869.0,0.001,8.0,1.0,1.0,15.0,12.0,1.0,0.1,True
Q129,671.0,chip,Shamkya,An6,498930.0,2144344.0,0.001,4.0,3.0,1.0,26.0,55.0,3.0,0.1,True
Q130,672.0,chip,Shamkya,An6,497330.0,2146841.0,0.001,1.0,1.0,1.0,12.0,7.0,1.0,0.1,True
Q131,673.0,chip,Shamkya,An6,498962.0,2144428.0,0.99,5.0,1.0,9.0,189.0,40.0,40.0,1.0,True
Q132,674.0,chip,Shamkya,An6,497934.0,2146971.0,0.001,1.0,1.0,1.0,7.0,8.0,10.0,0.1,True
Q133,675.0,chip,Shamkya,An6,497373.0,2147005.0,0.001,1.0,1.0,1.0,5.0,1.0,1.0,0.1,True
Q134,676.0,chip,Shamkya,An6,498920.0,2144487.0,0.001,28.0,1.0,3.0,186.0,23.0,23.0,1.3,True
Q135,677.0,chip,Shamkya,An6,497963.0,2147040.0,0.01,2.0,1.0,1.0,5.0,2.0,1.0,0.1,True
Q136,678.0,chip,Shamkya,An6,497958.0,2147049.0,0.001,1.0,1.0,1.0,4.0,7.0,2.0,0.1,True
Q137,679.0,chip,Shamkya,An6,498805.0,2144487.0,0.001,7.0,1.0,1.0,37.0,6.0,2.0,0.1,True
Q138,680.0,chip,Shamkya,An6,497688.0,2146687.0,0.001,1.0,2.0,1.0,5.0,5.0,1.0,0.1,True
Q139,681.0,chip,Shamkya,An6,499886.0,2131567.0,0.001,2.0,1.0,1.0,5.0,2.0,1.0,0.1,True
Q140,682.0,chip,Shamkya,An6,497765.0,2146658.0,4.82,7.0,1.0,118.0,3130.0,33.0,27.0,4.8,True
Q141,683.0,chip,Shamkya,An6,502547.0,2130854.0,0.01,1.0,1.0,1.0,9.0,1.0,1.0,0.1,True
Q142,684.0,chip,Shamkya,An6,502195.0,2131099.0,0.07,20.0,1.0,1.0,563.0,9.0,2.0,0.1,True
Q143,685.0,chip,Shamkya,An6,502165.0,2131120.0,0.001,1.0,1.0,1.0,5.0,1.0,1.0,0.1,True
Q144,686.0,chip,Shamkya,An6,501990.0,2131257.0,0.02,23.0,2.0,3.0,9.0,10.0,8.0,0.3,False
Q145,687.0,chip,Shamkya,An6,495570.0,2136086.0,0.01,28.0,4.0,1.0,10.0,30.0,5.0,0.1,True
Q146,688.0,chip,Shamkya,An6,495558.0,2136137.0,0.54,30.0,3.0,4.0,2360.0,101.0,212.0,0.3,False
Q147,689.0,chip,Shamkya,An6,490484.0,2132361.0,0.01,25.0,5.0,1.0,4.0,21.0,5.0,0.1,True
Q148,690.0,chip,Shamkya,An6,487882.0,2132262.0,3.58,106.0,10.0,18.0,446.0,241.0,354.0,2.6,False
Q149,691.0,chip,Shamkya,An6,480602.0,2131915.0,0.01,2.0,1.0,1.0,3.0,1.0,1.0,0.1,True
Q150,692.0,chip,Shamkya,An6,480644.0,2131916.0,3.71,98.0,6.0,16.0,205.0,214.0,548.0,1.2,False
Q151,693.0,chip,Shamkya,An6,481772.0,2133680.0,0.01,41.0,3.0,1.0,5.0,44.0,6.0,0.1,True
Q152,694.0,chip,Shamkya,An6,481792.0,2133717.0,1.73,57.0,7.0,17.0,195.0,96.0,136.0,2.8,False
Q153,695.0,chip,Shamkya,An6,481752.0,2133702.0,0.01,6.0,1.0,1.0,17.0,3.0,2.0,0.1,True
Q154,696.0,chip,Shamkya,An6,482171.0,2136269.0,3.36,118.0,3.0,9.0,322.0,88.0,144.0,2.7,False
Q155,697.0,chip,Shamkya,An6,486742.0,2110788.0,0.78,83.0,1.0,15.0,,309.0,60.0,19.3,True
Q156,698.0,chip,Shamkya,An6,456540.0,2112347.0,4.67,16.0,1.0,2.0,26.0,8.0,14.0,0.7,True
Q157,699.0,chip,Shamkya,An6,494022.0,2137251.0,0.92,31.0,2.0,8.0,1470.0,159.0,52.0,5.3,False
Q158,700.0,chip,Shamkya,An6,494020.0,2137272.0,0.01,18.0,1.0,3.0,112.0,127.0,11.0,0.1,True
Q159,701.0,chip,Shamkya,An6,493489.0,2142217.0,0.001,35.0,2.0,1.0,68.0,152.0,21.0,0.1,True
Q160,702.0,chip,Shamkya,An6,493582.0,2142104.0,0.001,22.0,2.0,4.0,16.0,194.0,349.0,0.2,False
Q161,703.0,chip,Shamkya,An6,495944.0,2142986.0,0.03,31.0,1.0,1.0,9.0,6.0,5.0,0.3,True
Q162,704.0,chip,Shamkya,An6,495997.0,2143022.0,0.02,39.0,1.0,1.0,6.0,13.0,7.0,0.1,True
Q163,705.0,chip,Shamkya,An6,496912.0,2145285.0,0.09,41.0,1.0,1.0,8.0,14.0,5.0,0.2,True
Q164,706.0,chip,Shamkya,An6,496047.0,2147670.0,0.89,80.0,1.0,130.0,270.0,52.0,509.0,21.6,True
Q165,707.0,chip,Shamkya,An6,496762.0,2125820.0,0.96,80.0,3.0,13.0,,293.0,62.0,19.4,False
Q166,708.0,chip,Shamkya,An6,489993.0,2145065.0,2.29,15.0,1.0,147.0,1630.0,243.0,104.0,14.2,True
Q167,709.0,chip,Shamkya,An6,489673.0,2145365.0,0.01,19.0,1.0,1.0,18.0,4.0,2.0,0.1,True
Q168,710.0,chip,Shamkya,An6,489659.0,2145566.0,0.01,58.0,1.0,7.0,184.0,43.0,71.0,4.2,True
Q169,711.0,chip,Shamkya,An6,489041.0,2146412.0,0.01,179.0,2.0,3.0,72.0,39.0,19.0,0.3,False
Q170,712.0,chip,Shamkya,An6,488219.0,2146634.0,0.19,87.0,1.0,119.0,28.0,7.0,59.0,1.3,True
Q171,713.0,chip,Shamkya,An6,489673.0,2145365.0,0.001,2.0,1.0,4.0,70.0,129.0,2.0,0.1,True
