Serial No,Lab ID,Feild ID,Coordinates,Unnamed: 4,Au,Au Check,Au-OG44,ME-ICP41,ME-ICP41.1,ME-ICP41.2,ME-ICP41.3,ME-ICP41.4,ME-ICP41.5,ME-ICP41.6,ME-ICP41.7,ME-ICP41.8,ME-ICP41.9,ME-ICP41.10,ME-ICP41.11,ME-ICP41.12,ME-ICP41.13,ME-ICP41.14,ME-ICP41.15,ME-ICP41.16,ME-ICP41.17,ME-ICP41.18,ME-ICP41.19,ME-ICP41.20,ME-ICP41.21,ME-ICP41.22,ME-ICP41.23,ME-ICP41.24,ME-ICP41.25,ME-ICP41.26,ME-ICP41.27,ME-ICP41.28,ME-ICP41.29,ME-ICP41.30,ME-ICP41.31,ME-ICP41.32,ME-ICP41.33,ME-ICP41.34
,,,,,,,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn
,,,x,y,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,%,ppm,ppm,%,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm
176.0,718.0,Q176,,,Ch,,0.01,<0.2,0.03,<2,<10,10,<0.5,<2,0.03,<0.5,3,213,38,0.91,<10,1,0.01,<10,<0.01,264,17,<0.01,22,20,3,0.02,<2,<1,2,<20,<0.01,<10,<10,11,<10,2
177.0,719.0,Q177,,,Ch,,7.91,2.9,0.04,9,<10,20,<0.5,12,0.03,1.4,5,111,448,2.97,<10,<1,0.01,<10,0.01,133,13,<0.01,8,20,72,0.04,<2,<1,3,<20,<0.01,<10,<10,13,<10,233
178.0,720.0,Q178,,,Ch,,100,15.7,0.1,23,<10,50,<0.5,16,0.03,<0.5,5,111,24,2.2,<10,<1,0.04,10,0.01,139,11,<0.01,9,50,122,0.17,<2,<1,9,<20,<0.01,<10,<10,19,<10,20
179.0,721.0,Q179,,,Ch,,0.13,<0.2,0.23,<2,<10,100,<0.5,<2,0.23,<0.5,3,87,24,0.93,<10,<1,0.05,<10,0.02,384,8,<0.01,13,120,41,0.03,<2,2,8,<20,<0.01,<10,<10,24,<10,58
180.0,722.0,Q180,,,Ch,,0.04,<0.2,0.12,<2,<10,30,<0.5,2,0.21,<0.5,2,134,8,0.44,<10,<1,0.02,<10,0.02,109,14,<0.01,5,80,34,0.02,<2,1,4,<20,<0.01,<10,<10,14,<10,8
181.0,723.0,Q181,,,Ch,,0.67,2.7,0.35,43,<10,320,2,72,5.37,0.5,22,43,629,5.54,<10,1,0.15,10,0.12,2380,5,0.01,39,530,62,0.02,3,6,60,<20,<0.01,<10,<10,100,<10,85
182.0,724.0,Q182,,,Ch,,0.26,0.9,0.07,10,<10,70,0.5,10,0.54,<0.5,7,106,345,1.57,<10,<1,0.05,<10,0.02,635,9,<0.01,14,60,38,0.02,2,1,9,<20,<0.01,<10,<10,41,<10,31
183.0,725.0,Q183,,,Ch,,4.95,7.3,0.03,10,<10,20,<0.5,11,0.45,<0.5,3,105,8220,2.33,<10,<1,0.01,<10,0.03,409,11,<0.01,18,70,20,0.02,<2,1,8,<20,<0.01,<10,<10,23,<10,37
184.0,726.0,Q184,,,Ch,,0.02,<0.2,0.23,55,<10,20,2,4,0.22,0.5,5,119,37,13.35,10,<1,0.01,10,0.02,123,24,0.01,21,840,494,0.06,8,<1,69,100,<0.01,<10,30,50,20,1350
185.0,727.0,Q185,,,Ch,,0.27,0.9,0.15,9,<10,60,<0.5,2,0.09,<0.5,10,103,3930,2.24,<10,<1,<0.01,<10,0.05,55,8,<0.01,20,30,2,0.05,<2,1,14,<20,<0.01,<10,<10,40,<10,15
186.0,728.0,Q186,,,Ch,,0.01,<0.2,0.03,9,<10,50,<0.5,<2,0.09,<0.5,1,107,14,0.68,<10,1,0.01,<10,0.01,29,12,<0.01,3,120,2,0.02,<2,<1,5,<20,<0.01,<10,<10,7,<10,3
187.0,729.0,Q187,,,Ch,,0.001,<0.2,0.3,9,<10,160,1.8,<2,2.22,<0.5,14,54,56,2.94,<10,<1,0.1,20,0.07,368,5,<0.01,37,350,9,0.02,2,2,36,<20,<0.01,<10,<10,53,<10,67
188.0,730.0,Q188,,,Ch,,0.001,<0.2,0.11,<2,<10,120,<0.5,<2,0.39,<0.5,1,99,11,0.33,<10,<1,0.03,<10,0.03,114,8,<0.01,5,100,5,0.02,<2,<1,6,<20,<0.01,<10,<10,5,<10,7
189.0,731.0,Q189,,,Ch,,0.001,<0.2,<0.01,2,<10,10,<0.5,<2,0.01,<0.5,1,203,3,0.3,<10,1,<0.01,<10,<0.01,83,17,<0.01,5,<10,2,0.01,<2,<1,1,<20,<0.01,<10,<10,9,<10,<2
190.0,732.0,Q190,,,Ch,,0.001,<0.2,0.06,<2,<10,720,<0.5,<2,0.92,<0.5,2,116,29,0.45,<10,<1,0.02,<10,0.04,215,9,<0.01,8,2150,2,0.08,<2,<1,23,<20,<0.01,<10,<10,13,<10,6
191.0,733.0,Q191,,,Ch,,0.001,<0.2,0.58,98,<10,450,0.6,<2,1.3,<0.5,20,66,46,8,<10,<1,0.04,10,0.09,1430,7,<0.01,64,820,10,0.12,5,11,33,<20,<0.01,<10,<10,218,<10,122
192.0,734.0,Q192,,,Ch,,0.001,<0.2,0.04,7,<10,70,<0.5,<2,0.17,<0.5,4,122,34,1.05,<10,<1,0.01,<10,0.02,81,10,<0.01,31,30,3,0.03,<2,<1,6,<20,<0.01,<10,<10,25,<10,8
