Serial No,Lab ID,Feild ID,Coordinates,Unnamed: 4,Au,Au Check,Au-OG44,ME-ICP41,ME-ICP41.1,ME-ICP41.2,ME-ICP41.3,ME-ICP41.4,ME-ICP41.5,ME-ICP41.6,ME-ICP41.7,ME-ICP41.8,ME-ICP41.9,ME-ICP41.10,ME-ICP41.11,ME-ICP41.12,ME-ICP41.13,ME-ICP41.14,ME-ICP41.15,ME-ICP41.16,ME-ICP41.17,ME-ICP41.18,ME-ICP41.19,ME-ICP41.20,ME-ICP41.21,ME-ICP41.22,ME-ICP41.23,ME-ICP41.24,ME-ICP41.25,ME-ICP41.26,ME-ICP41.27,ME-ICP41.28,ME-ICP41.29,ME-ICP41.30,ME-ICP41.31,ME-ICP41.32,ME-ICP41.33,ME-ICP41.34
,,,,,,,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cu,Fe,Ga,Hg,K,La,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Sr,Th,Ti,Tl,U,V,W,Zn
,,,x,y,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,%,ppm,ppm,%,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm
26.0,568.0,Q026,466798,2105512,Ch,,0.001,<0.2,0.02,5,<10,30,<0.5,<2,0.08,<0.5,6,155,35,1.42,<10,<1,0.01,<10,0.01,254,11,<0.01,14,170,<2,0.01,<2,<1,6,<20,<0.01,<10,<10,13,<10,3
27.0,569.0,Q027,465200,2110386,Ch,,0.001,<0.2,0.03,<2,<10,40,<0.5,<2,0.05,<0.5,3,142,25,0.53,<10,<1,0.01,<10,0.01,79,11,<0.01,15,40,<2,<0.01,<2,<1,5,<20,<0.01,<10,<10,9,<10,4
28.0,570.0,Q028,466923,2107127,Ch,,0.001,0.5,0.02,<2,<10,10,<0.5,19,0.04,<0.5,2,116,17,0.58,<10,1,0.01,<10,0.01,66,9,<0.01,7,20,54,<0.01,<2,<1,1,<20,<0.01,<10,<10,12,<10,<2
29.0,571.0,Q029,457855,2112775,Ch,,0.02,<0.2,0.02,<2,<10,10,<0.5,<2,0.01,<0.5,1,162,3,0.22,<10,<1,0.01,<10,<0.01,32,14,<0.01,2,10,<2,<0.01,<2,<1,<1,<20,<0.01,<10,<10,6,<10,<2
30.0,572.0,Q030,466357,2103109,QA/QC,Blank Sample,0.001,<0.2,0.07,139,<10,50,<0.5,<2,3.34,0.6,2,116,4,2.02,<10,<1,0.02,<10,0.04,789,10,<0.01,3,130,2,<0.01,<2,1,24,<20,<0.01,<10,<10,16,<10,16
31.0,573.0,Q031,466414,2103075,Ch,,0.01,<0.2,0.02,<2,<10,30,<0.5,<2,0.04,<0.5,1,137,36,1.97,<10,<1,0.01,<10,0.01,49,12,<0.01,6,20,3,0.02,<2,<1,3,<20,<0.01,<10,<10,15,<10,3
32.0,574.0,Q032,460749,2108362,Ch,,0.01,33,0.03,12,<10,20,<0.5,167,0.1,0.7,21,149,59,4.2,<10,<1,<0.01,<10,0.01,151,16,<0.01,34,90,731,0.03,<2,<1,4,<20,<0.01,<10,<10,29,<10,5
33.0,575.0,Q033,467575,2103016,Ch,,0.001,<0.2,0.03,<2,<10,10,<0.5,<2,0.03,<0.5,12,147,77,1,<10,<1,<0.01,<10,<0.01,78,13,<0.01,22,20,<2,0.02,<2,<1,2,<20,<0.01,<10,<10,16,<10,2
34.0,576.0,Q034,476273,2117983,Ch,,0.01,0.2,0.02,4,<10,10,<0.5,2,0.04,<0.5,13,112,35,1.73,<10,<1,<0.01,<10,0.01,113,11,<0.01,17,40,2,0.02,<2,<1,2,<20,<0.01,<10,<10,8,<10,2
35.0,577.0,Q035,470793,2103486,Ch,,0.001,<0.2,0.37,<2,<10,70,<0.5,<2,0.15,<0.5,9,86,9,3.34,<10,<1,0.07,<10,0.02,154,10,0.01,20,390,6,0.08,<2,1,72,<20,<0.01,<10,<10,23,<10,43
36.0,578.0,Q036,474686,2117760,Ch,,0.001,<0.2,0.05,2,<10,20,<0.5,<2,0.11,<0.5,1,133,3,0.32,<10,<1,0.03,<10,0.01,113,12,<0.01,5,70,<2,0.02,<2,<1,2,<20,<0.01,<10,<10,8,<10,3
37.0,579.0,Q037,472395,2102192,Ch,,0.001,<0.2,0.01,<2,<10,20,<0.5,<2,0.11,<0.5,1,146,3,0.25,<10,<1,<0.01,<10,0.01,57,13,<0.01,4,30,2,0.02,<2,<1,2,<20,<0.01,<10,<10,7,<10,<2
38.0,580.0,Q038,459233,2107453,Ch,,0.001,<0.2,0.03,<2,<10,10,<0.5,<2,0.04,<0.5,<1,152,2,0.3,<10,<1,0.01,<10,<0.01,67,14,<0.01,4,50,<2,0.02,<2,<1,3,<20,<0.01,<10,<10,8,<10,2
39.0,581.0,Q039,473064,2117144,Ch,,0.001,<0.2,0.01,5,<10,10,<0.5,<2,0.02,<0.5,1,153,4,0.44,<10,<1,<0.01,<10,<0.01,39,14,<0.01,6,20,<2,0.02,<2,<1,2,<20,<0.01,<10,<10,8,<10,2
40.0,582.0,Q040,464154,2110235,Ch,,0.001,<0.2,0.02,4,<10,10,<0.5,<2,0.03,<0.5,4,160,9,0.99,<10,<1,0.01,<10,0.01,76,16,<0.01,6,30,2,0.02,<2,<1,2,<20,<0.01,<10,<10,9,<10,2
41.0,583.0,Q041,463053,2108462,Ch,,0.001,<0.2,0.02,2,<10,20,<0.5,<2,0.03,<0.5,2,136,24,0.76,<10,<1,0.01,<10,<0.01,50,15,<0.01,8,50,2,0.04,<2,<1,3,<20,<0.01,<10,<10,11,<10,2
42.0,584.0,Q042,473364,2117151,Ch,,0.001,<0.2,0.01,<2,<10,10,<0.5,<2,0.02,<0.5,1,116,2,0.19,<10,<1,<0.01,<10,<0.01,23,10,<0.01,7,30,<2,0.02,<2,<1,1,<20,<0.01,<10,<10,6,<10,<2
43.0,585.0,Q043,462436,2108541,Ch,,0.001,<0.2,0.02,<2,<10,10,<0.5,<2,0.03,<0.5,1,149,16,0.46,<10,<1,0.01,<10,<0.01,13,12,<0.01,4,20,<2,0.02,<2,<1,4,<20,<0.01,<10,<10,10,<10,<2
44.0,586.0,Q044,470729,2114873,Ch,,0.001,0.3,0.02,5,<10,10,<0.5,4,0.04,0.5,1,126,12,0.37,<10,<1,0.01,<10,<0.01,46,10,<0.01,3,10,157,0.02,<2,<1,2,<20,<0.01,<10,<10,16,<10,17
45.0,587.0,Q045,477215,2118464,Ch,,0.001,<0.2,0.55,6,<10,140,0.6,<2,0.23,<0.5,16,64,27,3.46,<10,<1,0.1,10,0.04,562,7,0.09,38,520,11,0.1,<2,6,20,<20,<0.01,<10,<10,64,<10,97
46.0,588.0,Q046,489287,2111348,Ch,,0.001,<0.2,0.04,<2,<10,10,<0.5,<2,0.04,<0.5,1,135,2,0.27,<10,<1,<0.01,<10,0.02,55,11,0.01,7,10,2,0.02,<2,<1,1,<20,<0.01,<10,<10,8,<10,3
47.0,589.0,Q047,473685,2118463,Ch,,0.001,<0.2,0.02,<2,<10,10,<0.5,<2,0.02,<0.5,1,143,15,0.45,<10,<1,0.01,<10,<0.01,14,12,<0.01,5,20,<2,0.02,<2,<1,4,<20,<0.01,<10,<10,9,<10,<2
48.0,590.0,Q048,492740,2118062,Ch,,0.001,<0.2,0.24,9,<10,150,<0.5,<2,0.29,<0.5,11,91,30,3.34,<10,<1,0.06,<10,0.04,499,10,0.08,24,40,8,0.21,<2,4,41,<20,<0.01,<10,<10,65,<10,48
49.0,591.0,Q049,470297,2117604,Ch,,0.001,<0.2,0.01,2,<10,10,<0.5,<2,0.02,<0.5,2,132,11,0.38,<10,<1,<0.01,<10,<0.01,80,12,<0.01,8,10,<2,0.02,<2,<1,2,<20,<0.01,<10,<10,7,<10,3
50.0,592.0,Q050,472808,2124486,Ch,,0.001,<0.2,0.02,8,<10,20,<0.5,<2,0.04,<0.5,2,134,10,0.84,<10,<1,<0.01,<10,<0.01,65,11,<0.01,9,40,<2,0.02,<2,<1,3,<20,<0.01,<10,<10,8,<10,7
51.0,593.0,Q051,471224,2115812,Ch,,0.001,<0.2,0.01,<2,<10,10,<0.5,<2,0.01,<0.5,<1,122,2,0.19,<10,<1,0.01,<10,<0.01,59,9,<0.01,4,20,<2,0.02,<2,<1,<1,<20,<0.01,<10,<10,6,<10,<2
52.0,594.0,Q052,475634,2121400,Ch,,0.001,<0.2,0.05,10,<10,20,<0.5,<2,0.08,<0.5,1,104,3,0.35,<10,<1,0.05,<10,0.01,43,9,<0.01,3,40,10,0.04,<2,<1,5,<20,<0.01,<10,<10,7,<10,4
53.0,595.0,Q053,471991,2115213,Ch,,0.01,0.2,0.04,308,<10,10,<0.5,<2,0.04,<0.5,2,192,51,5.88,<10,<1,0.01,<10,0.01,52,19,0.01,6,40,9,0.05,<2,<1,9,<20,<0.01,<10,<10,12,<10,9
54.0,596.0,Q054,473720,2128154,Ch,,0.001,0.4,0.03,7,<10,20,<0.5,2,0.01,<0.5,1,157,50,0.29,<10,<1,0.02,<10,<0.01,22,16,<0.01,4,20,6,0.03,<2,<1,3,<20,<0.01,<10,10,8,<10,<2
55.0,597.0,Q055,475091,2114019,Ch,,0.001,<0.2,0.01,<2,<10,10,<0.5,<2,0.01,<0.5,1,117,2,0.28,<10,<1,<0.01,<10,<0.01,43,10,<0.01,4,20,2,0.02,<2,<1,1,<20,<0.01,<10,<10,7,<10,<2
56.0,598.0,Q056,497800,2125356,Ch,,0.001,<0.2,0.04,14,<10,90,<0.5,<2,0.11,<0.5,4,141,16,1.15,<10,<1,0.02,<10,0.01,136,12,<0.01,19,60,2,0.03,<2,<1,5,<20,<0.01,<10,<10,13,<10,17
57.0,599.0,Q057,483183,2112316,Ch,,0.001,<0.2,0.03,<2,<10,10,<0.5,<2,0.02,<0.5,1,120,5,0.28,<10,<1,0.02,<10,<0.01,36,10,<0.01,5,10,<2,0.02,<2,<1,1,<20,<0.01,<10,<10,9,<10,2
58.0,600.0,Q058,496152,2125999,Ch,,0.001,<0.2,0.02,118,<10,70,<0.5,<2,0.04,<0.5,1,143,12,1.74,<10,<1,<0.01,<10,<0.01,69,13,<0.01,7,60,4,0.03,<2,<1,7,<20,<0.01,<10,<10,10,<10,4
59.0,601.0,Q059,485882,2113361,Ch,,0.001,<0.2,0.59,5,<10,60,0.6,<2,0.29,<0.5,4,64,25,4.9,<10,<1,0.09,10,0.19,64,5,0.04,30,910,7,0.05,<2,2,37,<20,<0.01,<10,<10,38,<10,59
60.0,602.0,Q060,487729,2127361,Ch,,0.001,<0.2,0.01,<2,<10,10,<0.5,<2,0.01,<0.5,<1,131,2,0.19,<10,<1,0.01,<10,<0.01,21,10,<0.01,4,20,<2,0.02,<2,<1,1,<20,<0.01,<10,<10,7,<10,<2
61.0,603.0,Q061,485807,2127940,Ch,,0.001,<0.2,0.05,<2,<10,10,<0.5,<2,0.01,<0.5,1,159,3,0.23,<10,<1,0.02,<10,<0.01,28,14,<0.01,5,<10,<2,0.01,<2,<1,1,<20,<0.01,<10,<10,8,<10,<2
62.0,604.0,Q062,484372,2118662,Ch,,0.001,<0.2,0.06,5,<10,50,<0.5,<2,0.06,<0.5,1,113,5,0.43,<10,<1,0.05,<10,0.01,55,11,<0.01,5,70,2,0.03,<2,<1,8,<20,<0.01,<10,<10,7,<10,4
63.0,605.0,Q063,482354,2136190,Ch,,0.001,<0.2,0.03,2,<10,50,<0.5,<2,0.04,<0.5,2,134,4,0.37,<10,<1,0.01,<10,0.01,138,12,<0.01,5,10,<2,0.02,<2,<1,2,<20,<0.01,<10,<10,7,<10,3
64.0,606.0,Q064,471338,2120874,Ch,,0.001,<0.2,0.03,<2,<10,20,<0.5,<2,0.04,<0.5,1,160,3,0.35,<10,<1,0.02,<10,0.01,97,14,<0.01,4,50,2,0.02,<2,<1,3,<20,<0.01,<10,<10,9,<10,2
65.0,607.0,Q065,492191,2137896,Ch,,0.01,<0.2,0.03,84,<10,10,<0.5,2,0.02,<0.5,1,129,3,0.32,<10,<1,0.02,<10,<0.01,83,10,<0.01,7,20,9,0.02,<2,<1,1,<20,<0.01,<10,<10,7,<10,3
66.0,608.0,Q066,470423,2120912,Ch,,0.001,<0.2,0.11,<2,<10,30,<0.5,<2,0.12,<0.5,1,217,8,0.47,<10,<1,0.08,<10,0.02,126,18,<0.01,12,70,6,0.03,<2,<1,5,<20,<0.01,<10,<10,12,<10,4
67.0,609.0,Q067,488669,2137115,QA/QC,Blank Sample,0.001,<0.2,0.04,8,<10,30,<0.5,<2,0.08,<0.5,2,245,7,0.59,<10,<1,0.02,<10,0.01,214,21,<0.01,11,40,2,<0.01,<2,<1,2,<20,<0.01,<10,<10,13,<10,11
68.0,610.0,Q068,470043,2123890,Ch,,0.001,<0.2,0.09,16,<10,80,<0.5,<2,0.34,<0.5,3,264,10,1.37,<10,<1,0.04,<10,0.03,161,20,<0.01,33,100,8,0.01,<2,<1,12,<20,<0.01,<10,<10,19,<10,4
69.0,611.0,Q069,493772,2139932,Ch,,0.001,0.2,0.92,58,<10,190,1,<2,1.25,<0.5,48,53,219,11.2,<10,1,0.12,10,0.12,1130,1,<0.01,59,1560,5,<0.01,<2,19,31,<20,0.01,<10,<10,230,<10,164
70.0,612.0,Q070,478899,2121074,Ch,,0.001,0.2,0.15,<2,<10,50,<0.5,<2,0.1,<0.5,2,153,5,0.8,<10,<1,0.07,<10,0.02,264,16,<0.01,12,140,2,<0.01,<2,1,6,<20,<0.01,<10,<10,14,<10,47
71.0,613.0,Q071,486491,2144289,Ch,,0.001,<0.2,0.16,2,<10,20,<0.5,<2,0.09,<0.5,2,215,23,0.47,<10,<1,0.08,10,0.03,101,18,<0.01,8,80,3,<0.01,<2,<1,2,<20,<0.01,<10,<10,12,<10,4
72.0,614.0,Q072,482723,2129541,QA/QC,Blank Sample,0.04,<0.2,0.13,6,<10,60,<0.5,<2,0.2,<0.5,6,216,11,1.08,<10,<1,0.04,<10,0.03,222,18,<0.01,10,50,2,<0.01,<2,1,5,<20,<0.01,<10,<10,26,<10,26
73.0,615.0,Q073,495562,2143760,Ch,,0.001,<0.2,0.04,<2,<10,20,<0.5,<2,0.04,<0.5,2,156,17,1.3,<10,1,0.01,<10,0.01,130,14,<0.01,8,20,<2,<0.01,<2,<1,2,<20,<0.01,<10,<10,16,<10,2
74.0,616.0,Q074,475288,2132700,Ch,,0.001,<0.2,0.14,<2,<10,110,<0.5,2,0.05,<0.5,5,122,2,0.87,<10,<1,0.02,<10,0.01,139,11,<0.01,6,70,<2,0.04,<2,1,13,<20,<0.01,<10,<10,13,<10,8
75.0,617.0,Q075,489948,2147177,Ch,,0.001,<0.2,0.11,<2,<10,130,<0.5,<2,0.08,<0.5,4,126,34,0.95,<10,<1,0.05,<10,0.01,216,10,<0.01,10,110,2,<0.01,<2,<1,5,<20,<0.01,<10,<10,16,<10,15
76.0,618.0,Q076,475377,2132716,Ch,,0.76,13.1,0.18,<2,<10,220,0.5,13,0.18,<0.5,6,137,161,1.97,<10,<1,0.11,<10,0.02,1240,13,<0.01,8,40,84,<0.01,<2,1,13,<20,<0.01,<10,<10,54,<10,14
77.0,619.0,Q077,491340,2146297,Ch,,0.001,0.4,0.03,25,<10,90,<0.5,<2,0.05,<0.5,1,173,10,0.84,<10,<1,0.01,<10,0.01,78,15,<0.01,11,90,2,<0.01,<2,<1,7,<20,<0.01,<10,<10,10,<10,6
