Serial No,Lab ID,Feild ID,Au,Au Check,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,,,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
28.0,An6.T3.TR8.G1,G/032,0.05,,0.11,0.12,2.7,0.05,<10,290,0.85,0.03,0.03,0.15,48,4.4,10,<0.05,101.5,6.37,0.87,0.06,0.06,0.01,0.214,0.08,18.7,0.4,0.03,4750,4.58,<0.01,0.14,9.8,60,2.2,2.3,<0.001,0.01,0.12,2.5,0.3,0.3,20.3,<0.01,<0.01,1.7,<0.005,0.13,5.69,76,0.23,29.3,25,1.9
29.0,An6.T3.TR9.G1,G/033,0.01,,0.19,0.25,4.3,<0.02,<10,130,0.82,0.43,0.04,0.06,69.8,4.7,9,0.15,76.1,2.4,1.91,<0.05,0.11,0.01,0.067,0.13,29,0.8,0.02,1070,1.58,0.01,0.64,7.3,60,13,5.3,<0.001,0.01,0.27,3,<0.2,0.4,9,0.01,0.02,4,<0.005,0.1,1.74,20,0.08,24.1,93,3.8
30.0,An6.T3.TR9.G2,G/035,8.79,5.63,0.18,0.28,2.3,1.94,<10,60,0.55,0.1,0.05,0.02,60.5,3.9,18,0.17,9,1.71,2.45,<0.05,0.1,<0.01,0.036,0.06,22.7,0.6,0.02,407,1.26,<0.01,0.62,6.7,40,3.6,3.2,<0.001,0.01,0.12,1.8,0.2,0.7,4.1,<0.01,0.01,4.3,0.008,0.03,0.83,25,0.1,11.8,17,3.1
31.0,An6.T3.TR9.G3,G/036,<0.01,,0.02,0.16,1.3,0.05,<10,100,0.43,0.05,0.05,0.03,26.2,2.7,9,0.11,5.3,1.48,1.15,<0.05,0.05,0.01,0.035,0.04,9.8,0.4,0.02,621,0.69,<0.01,0.53,3.5,30,2.1,2.1,<0.001,0.01,0.07,1.1,<0.2,0.2,4.1,<0.01,<0.01,1.6,0.005,0.04,0.71,21,0.07,6.51,12,1.5
32.0,An6.T3.TR9.G4,G/037,0.01,,0.03,0.18,1.4,<0.02,<10,60,0.34,0.02,0.02,0.01,10.85,2.8,15,0.13,9.8,1.25,1.09,<0.05,0.04,<0.01,0.007,0.05,4.7,0.4,0.01,484,0.8,<0.01,0.21,5.4,20,2.1,2.2,<0.001,0.01,0.1,1.1,<0.2,0.4,2.9,<0.01,<0.01,0.8,<0.005,0.02,0.53,11,0.07,5.63,16,1.1
33.0,An6.T3.TR9.G5,G/038,0.12,,0.03,0.14,1.1,<0.02,<10,130,0.33,0.02,0.03,0.03,32.8,3.1,13,0.07,13,3.17,0.97,<0.05,0.04,<0.01,0.087,0.08,13.5,0.5,0.02,2350,1.96,<0.01,0.25,8.1,30,0.9,2.5,<0.001,0.01,0.09,2.5,<0.2,0.4,8,<0.01,<0.01,1.7,<0.005,0.05,0.94,15,0.11,11.9,21,1
34.0,An6.T3.TR9.G6,G/039,<0.01,,0.02,0.32,3.1,<0.02,<10,70,0.82,0.13,0.07,0.06,87.9,7.5,20,0.12,29.8,3.23,2.77,0.07,0.09,0.01,0.078,0.1,35.9,1,0.02,468,1.2,0.01,0.94,14,90,4.3,3.8,<0.001,0.01,0.36,5.5,<0.2,1,6.4,0.01,0.01,5.4,<0.005,0.07,2.73,34,0.08,23.5,76,2.4
35.0,An6.T3.TR11.G1,G/040,<0.01,,0.02,0.15,15.5,<0.02,<10,50,0.5,0.01,0.04,0.02,6.45,6.6,28,0.1,12.8,2.13,1.38,<0.05,0.05,<0.01,0.015,0.04,4.5,0.3,0.02,548,1.65,<0.01,0.24,20.9,40,3.5,2,<0.001,0.01,0.72,3.3,0.2,0.5,6.8,<0.01,0.01,0.3,<0.005,0.03,1.45,24,0.05,7.64,39,1.2
36.0,An6.T3.TR11.G2,G/041,0.01,,0.09,0.21,4.6,<0.02,<10,210,0.86,0.53,0.32,0.13,31.2,9.2,6,0.06,54.6,9.97,0.96,0.06,0.09,0.01,0.295,0.06,14.8,0.4,0.04,1830,2.86,<0.01,0.36,18,60,25.8,2.1,<0.001,0.02,0.16,2.8,0.3,<0.2,20.9,0.01,0.02,2.4,<0.005,0.03,2.93,48,0.17,7.17,137,2.9
37.0,An6.T5.TR1.G1,G/042,0.2,,0.09,0.39,2.2,<0.02,<10,130,0.57,0.5,0.16,0.03,16.5,2.5,11,0.07,57.1,2.24,1.44,<0.05,0.08,<0.01,0.066,0.08,8.2,0.5,0.06,654,0.92,0.03,1.19,5.9,30,22,3.1,<0.001,0.01,0.11,1,0.3,0.4,19.3,0.02,0.02,4.9,<0.005,0.03,4.04,16,0.11,9.75,29,2.5
38.0,An6.T5.TR2.G1,G/043,0.03,,0.03,0.3,0.8,<0.02,<10,70,0.56,0.12,0.11,0.01,32.8,2.2,9,0.15,5.6,1.23,1.8,<0.05,0.05,0.01,0.023,0.1,15.5,1.3,0.08,356,0.78,0.01,0.79,3.2,60,2.9,4.2,<0.001,0.01,0.05,0.9,0.2,0.4,8.6,<0.01,<0.01,1.4,0.013,0.02,0.35,14,0.08,5.29,9,2
39.0,An6.T5.TR2.G2,G/044,1.16,,5.34,0.05,4.4,0.68,<10,40,0.22,48.9,0.27,0.02,6.81,3.5,17,<0.05,174.5,3.08,0.78,<0.05,0.04,0.03,0.096,0.02,3.6,0.1,0.01,224,2.07,<0.01,0.36,5.9,60,147,0.5,<0.001,0.04,0.3,0.6,1.6,0.8,4.5,<0.01,0.25,0.4,<0.005,<0.02,1.27,26,0.41,2.08,31,1.5
40.0,An6.T5.TR3.G1,G/045,<0.01,,0.03,0.01,0.4,<0.02,<10,<10,<0.05,0.06,0.07,<0.01,0.55,0.6,11,<0.05,4.6,0.54,0.17,<0.05,<0.02,<0.01,<0.005,<0.01,0.4,0.1,<0.01,109,0.51,<0.01,<0.05,2.2,10,0.3,0.1,<0.001,0.01,<0.05,0.1,<0.2,0.2,0.9,<0.01,<0.01,<0.2,<0.005,<0.02,0.06,1,0.06,0.4,<2,<0.5
41.0,An6.T5.TR3.G2,G/046,<0.01,,0.05,0.19,3.8,<0.02,<10,470,0.69,0.4,5.23,0.1,22.1,6.8,6,<0.05,4.2,7.16,1.12,<0.05,0.07,0.01,0.208,0.07,10.6,0.5,0.15,4880,4.55,<0.01,0.2,10.7,200,1.6,2.1,<0.001,0.01,0.15,4.6,0.3,0.2,77.7,<0.01,0.04,0.7,<0.005,0.06,3.93,141,0.28,25.7,23,2.8
42.0,An6.T5.TR4.G1,G/047,<0.01,,0.11,0.09,3.4,<0.02,<10,440,0.44,0.29,1.76,0.17,25.4,8.6,11,<0.05,35.6,5.71,0.71,<0.05,0.06,<0.01,0.169,0.07,13.1,0.3,0.06,4130,5.08,0.01,0.06,11.1,90,3.7,1.7,<0.001,0.03,0.12,2.7,0.5,0.2,42.8,<0.01,0.01,0.9,<0.005,0.05,4.17,115,0.21,20.1,33,2.4
43.0,An6.T5.TR5.G1,G/050,0.01,,4.04,0.2,6.1,<0.02,<10,410,0.5,19.9,0.5,0.07,66.8,11.8,5,<0.05,531,3.91,1.1,0.07,0.1,0.01,0.123,0.14,33.3,0.5,0.05,2680,4.34,0.02,0.11,7.5,270,16.1,3.4,<0.001,0.02,0.14,1.9,0.7,0.2,40.8,0.01,0.12,2.9,<0.005,0.06,3.2,67,0.21,15.4,22,4.5
