Serial No,Field ID,Coordinates,Unnamed: 3,Au,Au Check,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,,X,Y,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
23.0,RCH/034,495345,2137207,0.02,,0.95,0.03,2.3,0.02,<10,50,0.25,38.9,0.05,0.1,24.1,4.1,10,<0.05,30.2,2.37,0.4,<0.05,<0.02,<0.01,0.086,0.01,12.2,0.2,0.01,801,0.98,<0.01,0.13,3.9,50,14,0.6,<0.001,<0.01,0.16,0.3,0.3,0.2,4.8,<0.01,0.06,1,<0.005,0.02,0.35,14,0.2,1.89,38,<0.5
24.0,RCH/035,495374,2137239,<0.01,,0.02,0.12,1.6,<0.02,<10,30,0.26,0.09,0.06,0.08,34.4,2.7,9,<0.05,18.7,1.55,0.85,<0.05,0.02,<0.01,0.022,0.03,16.1,0.2,0.01,337,0.94,<0.01,0.17,5,40,1.3,0.9,<0.001,0.01,0.06,1.2,<0.2,0.4,4.4,<0.01,0.05,1.5,<0.005,0.03,0.4,11,0.05,4.64,33,0.5
25.0,RCH/036,494069,2139558,<0.01,,<0.01,0.06,0.7,<0.02,<10,10,0.08,0.06,0.08,0.02,1.5,6.8,8,<0.05,11.7,0.88,0.34,<0.05,<0.02,<0.01,<0.005,0.01,0.7,0.3,0.01,160,0.53,<0.01,0.52,4.3,40,0.7,0.4,<0.001,<0.01,0.06,0.9,<0.2,<0.2,2.2,<0.01,0.02,0.2,<0.005,<0.02,0.35,11,<0.05,1.83,6,<0.5
26.0,RCH/037,494047,2139600,0.05,,6.42,0.03,18.5,0.06,<10,20,0.16,115,0.06,0.05,4.09,2.7,12,<0.05,83.2,2.34,0.42,<0.05,<0.02,<0.01,0.051,0.01,2.3,0.1,0.01,209,1.21,<0.01,0.15,4.4,60,58.8,0.2,<0.001,0.01,0.48,0.3,0.4,0.4,3.8,<0.01,0.23,0.2,<0.005,<0.02,0.35,10,0.07,0.8,35,<0.5
27.0,RCH/119,495599,2136707,0.14,,0.13,0.1,9.9,0.02,<10,60,0.26,0.92,0.07,0.06,5.24,5.5,21,<0.05,39.7,3.11,0.79,<0.05,0.03,<0.01,0.118,0.02,2.6,0.1,0.01,356,2.49,<0.01,0.17,9.5,60,9.6,0.9,<0.001,0.03,0.47,2.7,0.6,0.4,8.9,<0.01,<0.01,0.9,<0.005,<0.02,0.77,24,0.11,2.48,20,1.3
28.0,RCH/120,495594,2136740,<0.01,,0.03,0.15,8.4,<0.02,<10,110,0.66,0.04,0.09,0.28,12.7,41.9,12,<0.05,7.8,10.6,0.78,0.1,0.02,0.01,0.453,0.09,5.7,0.3,0.04,2110,6.73,<0.01,0.08,44.5,80,7.5,2.7,<0.001,<0.01,0.16,7.4,0.7,0.2,7.7,<0.01,0.01,1.6,<0.005,0.07,2.31,36,0.22,8.89,204,0.8
29.0,RCH/121,495596,2136796,<0.01,,0.01,0.04,0.3,<0.02,<10,10,0.06,0.02,0.03,0.02,1.44,0.5,6,<0.05,1.2,0.65,0.25,0.07,<0.02,0.01,<0.005,0.01,0.8,0.2,0.01,137,0.32,<0.01,0.46,1.5,30,1.1,0.5,<0.001,<0.01,<0.05,0.2,<0.2,<0.2,1.6,0.01,0.02,<0.2,<0.005,<0.02,0.53,1,0.05,0.84,7,<0.5
30.0,RCH/122,495575,2136351,0.69,,2.22,0.09,16.6,2.18,<10,40,0.32,26.1,0.05,0.74,9.22,6,14,<0.05,85.4,3.51,0.72,0.09,0.03,<0.01,0.449,0.02,4,0.2,0.01,763,4.57,0.01,0.18,11.4,60,249,1.2,0.001,0.01,1.04,2,0.5,0.6,5.4,<0.01,0.32,0.8,<0.005,0.07,0.91,17,0.09,1.93,103,1.1
31.0,RCH/123,495599,2136690,2.7,,6.96,0.12,278,5.51,<10,40,0.85,4.09,0.04,0.34,3.52,12.9,9,<0.05,552,8.19,0.61,0.14,0.03,0.01,0.543,0.02,1.9,0.2,0.01,230,3.93,<0.01,<0.05,71.7,190,31.2,0.6,<0.001,0.02,0.56,0.9,15.3,1,23.3,<0.01,0.73,0.3,<0.005,<0.02,1.79,24,0.28,2.41,104,1.5
32.0,RCH/124,495395,2137023,0.01,,0.19,0.04,3.2,<0.02,<10,60,0.27,1.82,0.03,0.1,5.02,1.9,9,<0.05,6.5,3.08,0.39,0.08,<0.02,0.01,0.087,0.02,2.4,0.3,0.02,1140,0.66,<0.01,0.28,2.9,40,5.7,0.9,<0.001,<0.01,0.07,0.4,<0.2,<0.2,6.1,<0.01,0.01,0.3,<0.005,0.02,0.41,13,0.11,1.96,29,<0.5
33.0,RCH/125,495386,2137052,0.03,,5.49,0.02,7.8,0.04,<10,20,0.14,133,0.04,0.1,4.28,2.8,11,<0.05,35,5.45,0.26,0.08,<0.02,0.01,0.225,0.01,1.5,0.1,0.01,359,1.32,<0.01,0.08,4,30,149,0.2,<0.001,0.01,0.22,0.6,<0.2,0.3,2.1,<0.01,0.28,<0.2,<0.005,<0.02,0.48,10,0.07,2.15,69,<0.5
34.0,RCH/126,495390,2137069,0.02,,0.18,0.03,6.8,0.03,<10,40,0.27,3.3,0.07,0.08,11.65,2.8,13,<0.05,22.3,4.19,0.32,0.08,<0.02,0.01,0.161,0.02,5.5,0.2,0.01,829,0.93,<0.01,0.09,4,40,7,0.5,<0.001,0.01,0.17,0.6,<0.2,0.3,5.9,<0.01,0.03,0.7,<0.005,<0.02,0.35,8,0.12,1.39,28,<0.5
35.0,RCH/127,495368,2137104,0.47,,0.19,0.03,118,0.24,<10,20,0.22,1.07,0.03,0.14,15.45,2.2,8,<0.05,51.7,3.93,0.5,0.09,<0.02,0.01,0.051,<0.01,7,0.1,0.01,179,0.81,<0.01,0.11,2.7,210,12.1,0.2,<0.001,0.01,0.12,0.3,0.3,0.3,6.6,<0.01,0.04,1,<0.005,<0.02,0.21,14,0.09,1.15,17,0.5
36.0,RCH/128,495354,2137133,<0.01,,0.75,0.02,2.1,<0.02,<10,10,<0.05,5.75,0.03,0.02,2.03,1,13,<0.05,5.4,1.01,0.19,0.06,<0.02,0.01,0.014,0.01,0.9,0.3,<0.01,214,0.56,<0.01,<0.05,2.9,30,11.1,0.4,<0.001,<0.01,0.08,0.2,<0.2,0.3,2.1,<0.01,0.02,<0.2,<0.005,<0.02,<0.05,2,0.07,0.39,5,<0.5
37.0,RCH/129,495333,2137165,0.01,,0.46,0.02,4.8,<0.02,<10,10,0.06,1.03,0.02,0.01,9.42,0.7,11,<0.05,3.8,0.75,0.25,0.06,<0.02,0.01,<0.005,0.01,4.3,0.1,<0.01,155,0.38,<0.01,0.06,2.2,30,10,0.3,<0.001,0.01,0.05,0.1,<0.2,<0.2,4.1,<0.01,0.01,0.6,<0.005,<0.02,0.07,3,<0.05,0.47,3,<0.5
