Field No,lab Serial,Prospect,Type,x,y,z,Depth(m),Unnamed: 8,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,,,,,,,From,To,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC.BH25.016,1242.0,JAT-P3,RC,498878.839,2144292.424,315.652,17,18,QA/QC,2.3,1.74,1.29,4.5,2.39,<10,200,3.01,54.8,0.58,0.43,101.5,22.5,60.0,1.03,258.0,14.15,8.08,0.18,0.1,0.01,0.765,0.44,43.4,5.8,0.23,7910.0,11.8,0.03,0.18,17.4,170,80.7,25.3,0.001,0.01,0.43,5.9,0.3,1.5,81.6,0.01,0.03,7.7,0.013,0.44,3.3,58,0.36,26.9,104.0,3.1
,1243.0,JAT-P3,QA/QC,,,,,,BLANK SAMPLE,<0.01,0.01,0.28,<0.1,<0.02,<10,10,0.23,0.1,0.05,0.01,4.59,0.6,108.0,0.12,3.4,0.35,1.06,<0.05,0.15,0.01,0.006,0.28,1.4,0.3,0.01,85.0,7.9,0.03,0.18,2.0,10,14.6,11.8,0.001,<0.01,0.05,0.2,<0.2,0.2,2.2,<0.01,0.01,5,<0.005,0.05,1.98,2,0.19,1.93,5.0,3
RC.BH25.017,1244.0,JAT-P3,RC,498878.839,2144292.424,314.652,18,19,,2.2,3.75,0.95,5.1,2.15,10,190,4.05,47.4,2.4,0.95,109,16.5,79.0,0.66,272.0,6.9,5.27,0.17,0.13,0.02,0.338,0.45,52.6,2.8,0.14,5590.0,14.65,0.02,0.26,12.4,270,648.0,26.2,0.001,0.01,0.39,5.3,0.2,1.4,66.0,0.01,0.05,8.4,0.008,0.26,2.46,43,0.47,35.2,166.0,4.7
RC.BH25.018,1245.0,JAT-P3,RC,498878.839,2144292.424,313.652,19,20,,0.02,0.23,1.02,1.5,0.02,<10,60,1.81,0.52,1.52,0.47,125,5.4,105.0,0.37,6.6,3.08,7.01,0.16,0.13,0.01,0.124,0.31,60.1,5.2,0.29,1430.0,10.9,0.04,0.21,8.0,340,18.6,16.6,0.002,<0.01,0.16,3.4,0.3,1.4,38.3,<0.01,0.01,11.6,0.009,0.1,1.98,12,0.39,30.2,81.0,4.6
RC.BH25.019,1246.0,JAT-P3,RC,498878.839,2144292.424,312.652,20,21,,<0.01,0.05,1.15,0.8,<0.02,<10,30,0.89,0.14,0.61,0.07,131.5,2.8,112.0,0.3,2.5,3.03,9.73,0.18,0.15,0.01,0.141,0.27,62.3,6.3,0.37,666.0,8.06,0.07,0.29,7.9,330,7.3,14.3,0.001,<0.01,0.08,4.1,0.2,3.1,18.0,<0.01,<0.01,12.3,0.028,0.08,1.65,5,0.49,31.8,54.0,5.8
RC.BH25.020,1247.0,JAT-P3,RC,498878.839,2144292.424,311.652,21,22,,<0.01,0.03,1.19,0.8,<0.02,<10,40,1.2,0.13,0.63,0.1,134.5,3.5,114.0,0.44,2.1,2.94,10.25,0.19,0.19,<0.01,0.13,0.37,64.5,8.1,0.41,617.0,8.84,0.07,0.33,8.2,330,6.3,22.8,0.001,<0.01,0.1,3.3,0.2,3.4,18.5,<0.01,0.01,14.7,0.043,0.12,1.88,5,0.43,29.9,61.0,6.9
RC.BH25.021,1248.0,JAT-P3,RC,498878.839,2144292.424,310.652,22,23,,<0.01,0.06,1.02,0.8,<0.02,<10,50,1.19,0.25,1.17,0.2,116.5,5.0,117.0,0.61,7.3,2.57,8.51,0.16,0.17,0.01,0.114,0.4,55.7,7.4,0.37,736.0,9.58,0.07,0.45,8.3,290,6.6,28.1,0.001,0.01,0.12,3.5,<0.2,2.6,21.1,<0.01,0.01,11.2,0.046,0.15,2.11,7,0.34,28.6,71.0,6.5
RC.BH25.022,1249.0,JAT-P3,RC,498878.839,2144292.424,309.652,23,24,,<0.01,0.03,1.06,0.6,<0.02,<10,70,0.94,0.07,0.64,0.16,135.5,3.8,118.0,1.01,3.9,3.07,9.66,0.21,0.19,0.01,0.148,0.59,64.2,9.7,0.45,776.0,9.17,0.08,0.65,8.6,330,5.1,50.6,0.001,<0.01,0.08,4.7,<0.2,2.7,18.9,<0.01,0.01,13,0.087,0.26,1.31,7,0.42,36.6,102.0,7
RC.BH25.023,1250.0,JAT-P3,RC,498878.839,2144292.424,308.652,24,25,,0.01,0.05,0.88,0.7,<0.02,<10,70,0.68,0.06,0.29,0.08,142.5,3.3,131.0,1.24,2.3,2.89,9.16,0.2,0.2,<0.01,0.14,0.56,68.4,9.1,0.39,614.0,10.6,0.08,0.8,8.8,320,3.6,58.2,0.001,0.01,0.07,4.2,<0.2,2.4,11.7,0.01,0.01,13.1,0.08,0.29,1.06,7,0.36,41.8,119.0,7.3
,1251.0,JAT-P3,QA/QC,,,,,,Duplicate of RC.BH25.016,2.47,1.68,1.24,3.3,2.25,<10,200,3.01,44.0,0.61,0.48,91.2,19.2,62.0,0.95,245.0,13.9,7.91,0.22,0.09,0.01,0.738,0.44,43.3,6.5,0.24,8250.0,12.75,0.03,0.17,21.0,150,75.9,23.7,0.001,0.01,0.44,6.0,0.6,1.5,82.3,0.01,0.03,7,0.012,0.5,2.89,55,0.36,25.5,105.0,3.1
RC.BH25.024,1252.0,JAT-P3,RC,498878.839,2144292.424,307.652,25,26,,0.01,0.08,0.86,0.6,<0.02,<10,70,0.78,0.21,0.29,0.07,142,3.2,131.0,1.53,11.5,2.77,8.7,0.2,0.2,<0.01,0.129,0.5,64.9,8.7,0.37,670.0,11.2,0.06,0.56,9.2,290,3.4,55.7,0.002,<0.01,0.12,3.7,<0.2,2.5,15.7,0.01,0.02,12.8,0.057,0.28,0.95,7,0.43,41.0,117.0,6.8
RC.BH25.025,1253.0,JAT-P3,RC,498878.839,2144292.424,306.652,26,27,,0.01,0.11,0.8,1.2,<0.02,<10,80,1.11,0.18,0.31,0.06,143.5,2.9,127.0,1.26,9.2,2.56,7.26,0.19,0.19,<0.01,0.147,0.37,63.7,6.0,0.28,622.0,10.85,0.06,0.43,8.5,290,5.0,40.8,0.001,<0.01,0.15,4.0,0.4,2.2,17.4,0.01,0.01,12.5,0.034,0.21,0.93,8,0.41,37.7,107.0,7.3
RC.BH25.026,1254.0,JAT-P3,RC,498878.839,2144292.424,305.652,27,28,,0.01,0.1,0.83,1,0.02,<10,80,1.07,0.12,1.08,0.1,138,3.5,130.0,1.44,15.3,2.76,7.88,0.2,0.2,<0.01,0.132,0.42,61,7.8,0.35,569.0,10.95,0.06,0.56,11.6,320,4.6,49.5,0.001,<0.01,0.14,4.1,0.5,2.5,18.7,0.01,<0.01,11.6,0.04,0.24,0.94,11,0.42,40.2,108.0,7.2
RC.BH25.027,1255.0,JAT-P3,RC,498878.839,2144292.424,304.652,28,29,,0.01,0.08,0.73,0.5,<0.02,<10,60,0.78,0.09,0.61,0.06,138,3.1,137.0,1.31,10.0,2.72,7.75,0.21,0.21,<0.01,0.113,0.43,61.9,7.8,0.3,421.0,11.4,0.07,0.54,9.5,300,3.4,51.4,0.001,<0.01,0.11,2.8,0.6,2.8,11.1,0.01,0.02,12.3,0.045,0.26,0.83,8,2.21,42.3,111.0,7.1
RC.BH25.028,1256.0,JAT-P3,RC,498878.839,2144292.424,303.652,29,30,,0.01,0.07,0.68,0.7,<0.02,<10,60,0.67,0.11,0.46,0.11,129,3.0,137.0,1.18,5.7,2.55,7.33,0.2,0.19,<0.01,0.103,0.39,58.4,7.5,0.26,538.0,11.55,0.07,1.06,8.9,280,4.4,44.7,0.002,<0.01,0.1,2.9,0.4,2.7,13.8,0.01,0.02,11.9,0.038,0.21,0.78,7,0.54,41.3,109.0,6.8
RC.BH25.029,1257.0,JAT-P3,RC,498878.839,2144292.424,302.652,30,31,,<0.01,0.08,0.86,0.5,<0.02,<10,70,0.72,0.13,0.35,0.22,148.5,3.3,126.0,1.46,14.2,2.75,8.93,0.22,0.21,<0.01,0.125,0.5,66.9,10.4,0.34,630.0,11.9,0.07,0.68,9.2,320,6.7,57.7,0.002,<0.01,0.1,3.7,0.5,3,17.9,0.01,0.01,13.8,0.051,0.32,0.95,6,0.47,45.2,120.0,7.2
RC.BH25.030,1258.0,JAT-P3,RC,498878.839,2144292.424,301.652,31,32,,<0.01,0.06,0.95,0.6,<0.02,<10,70,1.16,0.22,0.71,0.21,107,4.4,116.0,0.82,10.0,2.96,7.27,0.19,0.2,<0.01,0.11,0.43,47.9,7.0,0.27,942.0,11.85,0.06,0.83,10.0,250,8.4,33.5,0.002,<0.01,0.2,3.0,0.5,2.5,25.0,<0.01,0.01,10.5,0.026,0.17,2.58,9,0.51,30.7,70.0,6.2
RC.BH25.031,1259.0,JAT-P3,RC,498878.839,2144292.424,300.652,32,33,,<0.01,0.04,0.87,0.5,<0.02,<10,60,0.72,0.08,0.3,0.17,138.5,3.3,122.0,1.91,7.0,2.69,8.7,0.21,0.18,<0.01,0.124,0.47,61.7,7.8,0.27,617.0,11.5,0.08,0.61,8.7,310,5.1,54.2,0.002,0.01,0.09,3.4,0.3,3.2,17.8,0.01,0.01,12.9,0.051,0.3,2.19,5,0.68,49.1,123.0,5.4
RC.BH25.032,1260.0,JAT-P3,RC,498878.839,2144292.424,299.652,33,34,,<0.01,0.03,1.04,0.3,<0.02,<10,90,0.72,0.07,0.33,0.25,148.5,3.2,113.0,2.69,4.4,2.95,10.15,0.22,0.21,<0.01,0.136,0.68,65.8,10.5,0.38,546.0,11.0,0.08,1.12,8.6,330,4.8,79.6,0.001,0.01,0.09,4.1,0.3,3.6,12.2,0.01,0.01,13.6,0.088,0.41,2.18,5,0.75,47.7,136.0,6.8
RC.BH25.033,1261.0,JAT-P3,RC,498878.839,2144292.424,298.652,34,35,,<0.01,0.03,1.08,0.3,<0.02,<10,70,1.01,0.07,0.49,0.15,123.5,3.8,118.0,2.06,4.9,2.98,9.84,0.21,0.24,<0.01,0.123,0.66,56.4,10.6,0.41,801.0,12.6,0.07,1.22,11.6,270,5.4,66.4,0.002,0.01,0.11,3.8,0.8,3.6,19.9,0.01,0.01,10.8,0.073,0.33,2.24,7,0.7,40.5,93.0,7.4
RC.BH25.034,1262.0,JAT-P3,RC,498878.839,2144292.424,297.652,35,36,,<0.01,0.03,0.91,0.4,<0.02,<10,100,0.96,0.06,0.63,0.14,134,3.1,110.0,2.53,4.9,2.89,9.48,0.21,0.19,<0.01,0.125,0.53,61.3,8.7,0.31,684.0,11.35,0.09,1.22,8.0,310,3.2,62.1,0.002,0.01,0.08,4.1,0.5,3.6,15.1,0.01,0.01,12.6,0.089,0.33,1.68,5,1.51,57.1,109.0,4.9
RC.BH25.035,1263.0,JAT-P3,RC,498878.839,2144292.424,296.652,36,37,,<0.01,0.03,0.85,0.3,<0.02,<10,80,0.86,0.09,0.7,0.18,152.5,3.0,115.0,2.42,8.5,2.82,9.34,0.21,0.19,0.01,0.145,0.45,68.7,6.5,0.28,607.0,11.6,0.09,0.77,8.0,330,3.3,53.0,0.002,0.01,0.07,4.3,0.3,3.8,17.9,0.01,0.02,13.4,0.065,0.28,1.33,5,0.96,60.6,117.0,5.3
RC.BH25.036,1264.0,JAT-P3,RC,498878.839,2144292.424,295.652,37,38,,<0.01,0.05,0.79,0.7,<0.02,<10,170,0.8,0.22,1.04,0.18,141,2.9,112.0,1.73,6.5,2.39,8.03,0.2,0.17,<0.01,0.133,0.42,62.8,5.4,0.24,675.0,13.9,0.07,0.83,7.2,310,5.1,41.8,0.002,0.01,0.1,4.1,0.3,3.4,19.5,0.01,<0.01,12,0.047,0.23,1.64,4,0.92,46.3,108.0,4.4
RC.BH26.028,1265.0,JAT-P3,RC,498924.974,2144283.431,305.298,28,29,,0.02,0.04,0.47,4.1,0.02,<10,40,0.88,0.41,0.97,0.1,118,3.7,101.0,0.15,4.1,3.36,2.7,0.16,0.22,<0.01,0.119,0.31,53.2,1.6,0.05,1750.0,10.4,0.04,0.22,5.9,270,2.2,11.3,0.001,<0.01,0.23,1.6,0.5,0.6,34.3,<0.01,<0.01,11.1,<0.005,0.05,1.42,2,0.59,13.1,34.0,9.8
RC.BH26.029,1266.0,JAT-P3,RC,498924.974,2144283.431,304.298,29,30,,0.01,0.04,0.49,5.8,<0.02,<10,30,0.77,0.58,0.57,0.05,95.6,3.9,101.0,0.1,27.6,3.99,2.45,0.16,0.19,<0.01,0.175,0.38,43.1,1.2,0.04,2560.0,9.14,0.02,0.26,5.9,210,1.7,11.4,0.001,<0.01,0.16,1.4,0.3,0.6,36.3,<0.01,0.01,8.9,<0.005,0.05,1.82,1,0.66,8.71,21.0,8.4
RC.BH26.030,1267.0,JAT-P3,RC,498924.974,2144283.431,303.298,30,31,,0.02,0.04,0.67,6.7,<0.02,<10,30,0.78,0.57,0.29,0.05,115,4.2,92.0,0.24,28.7,4.41,3.66,0.18,0.21,<0.01,0.191,0.4,52,2.6,0.07,2070.0,10.45,0.02,0.25,5.8,270,2.2,13.8,0.001,<0.01,0.24,1.8,0.2,1,32.8,<0.01,0.02,10.6,0.005,0.06,2.53,1,0.69,9.09,24.0,9.8
RC.BH26.031,1268.0,JAT-P3,RC,498924.974,2144283.431,302.298,31,32,,0.05,0.04,0.54,7.8,0.04,10,30,0.97,0.57,0.23,0.06,105,3.4,90.0,0.15,13.8,3.88,2.67,0.16,0.2,0.01,0.18,0.43,46.9,1.1,0.03,2300.0,10.35,0.01,0.16,5.0,260,3.0,12.5,0.001,<0.01,0.28,1.5,0.2,0.8,28.9,<0.01,0.02,9.6,<0.005,0.07,2.05,3,0.92,7.72,22.0,8.9
RC.BH26.032,1269.0,JAT-P3,RC,498924.974,2144283.431,301.298,32,33,,0.01,0.09,0.69,6.1,<0.02,10,60,2.36,0.84,1.44,0.45,84.3,6.3,105.0,0.22,33.2,5.64,3.61,0.16,0.19,<0.01,0.245,0.39,38,2.1,0.08,3230.0,13.45,0.01,0.19,12.5,350,5.6,14.0,0.001,<0.01,0.26,5.1,0.3,1.4,66.0,<0.01,0.01,7.9,0.005,0.13,2.34,23,0.65,17.65,102.0,7.6
RC.BH26.033,1270.0,JAT-P3,RC,498924.974,2144283.431,300.298,33,34,,0.02,0.1,0.45,12.5,0.02,<10,40,1.23,0.45,1.05,0.26,82.9,3.9,97.0,0.09,6.5,6.74,2.26,0.14,0.17,<0.01,0.304,0.37,38,0.8,0.04,3320.0,16.9,0.01,0.13,7.9,250,5.7,10.3,0.001,<0.01,0.31,2.8,0.4,0.6,38.6,<0.01,0.03,7.4,<0.005,0.07,2.55,9,0.97,11.8,84.0,6.6
RC.BH26.034,1271.0,JAT-P3,RC,498924.974,2144283.431,299.298,34,35,,0.02,0.1,0.48,6.9,0.03,<10,40,0.93,0.27,0.61,0.44,119.5,2.5,91.0,0.13,8.4,3.95,2.42,0.16,0.15,<0.01,0.185,0.4,53.6,0.6,0.03,2180.0,12.65,0.01,0.13,5.0,280,8.2,11.6,0.001,<0.01,0.29,1.6,0.3,0.7,23.1,<0.01,0.01,11,<0.005,0.06,1.5,2,1.04,10.1,120.0,6.6
RC.BH26.035,1272.0,JAT-P3,RC,498924.974,2144283.431,298.298,35,36,,0.34,0.68,0.56,11.9,0.32,<10,50,1.31,1.16,0.24,1.7,119,4.0,99.0,0.22,93.1,4.99,2.96,0.16,0.19,0.01,0.21,0.41,53,1.4,0.03,1620.0,11.7,0.01,0.16,5.8,260,48.5,14.0,0.001,0.01,0.74,1.9,0.3,1,39.2,<0.01,0.01,13.2,<0.005,0.11,1.83,5,0.73,8.56,243.0,7.2
RC.BH26.036,1273.0,JAT-P3,RC,498924.974,2144283.431,297.298,36,37,,9.44,5.31,0.51,26,8.56,10,100,1.91,16.9,0.41,2,90,7.3,110.0,0.26,260.0,6.11,2.73,0.15,0.18,0.01,0.33,0.35,39.6,1.2,0.04,1920.0,14.55,0.01,0.33,8.8,190,328.0,12.7,0.001,0.02,1.63,2.0,0.9,1,27.7,<0.01,0.06,7.7,<0.005,0.13,1.79,13,0.7,10.85,753.0,8
RC.BH26.037,1274.0,JAT-P3,RC,498924.974,2144283.431,296.298,37,38,QA/QC,0.61,0.76,0.59,13.4,1.08,10,50,2.03,1.19,1.8,0.83,67.1,7.6,120.0,0.34,74.8,5.35,2.4,0.14,0.12,<0.01,0.114,0.28,29.3,1.7,0.07,2650.0,14.35,0.01,0.19,13.8,280,35.4,11.5,0.001,<0.01,0.26,3.8,<0.2,0.5,64.7,<0.01,0.01,4.9,<0.005,0.06,1.51,11,0.68,12.85,145.0,4.7
RC.BH26.038,1275.0,JAT-P3,RC,498924.974,2144283.431,295.298,38,39,,0.29,0.72,0.56,8.8,0.18,10,30,1.42,4.2,1.07,0.96,100.5,2.6,116.0,0.32,314.0,3.41,2.56,0.17,0.12,0.01,0.163,0.29,45.1,1.2,0.06,1230.0,14.25,0.02,0.14,5.9,260,57.5,11.6,0.001,<0.01,0.45,2.6,0.2,0.6,35.4,<0.01,0.02,7.7,<0.005,0.06,1.47,3,0.53,12.0,121.0,5.4
,1276.0,JAT-P3,QA/QC,,,,,,Duplicate of RC.BH26.037,0.85,0.46,0.59,14,0.46,10,50,2.06,1.37,1.73,0.85,65.6,7.5,120.0,0.33,79.4,5.43,2.42,0.14,0.11,<0.01,0.116,0.29,28.7,1.6,0.07,2600.0,14.7,0.01,0.08,13.7,260,39.8,11.1,0.001,<0.01,0.29,3.9,0.3,0.5,62.8,<0.01,0.01,4.8,<0.005,0.06,1.55,11,0.72,12.95,156.0,4.6
RC.BH26.039,1277.0,JAT-P3,RC,498924.974,2144283.431,294.298,39,40,,1.08,2.45,0.46,24.3,1,<10,40,1.34,7.68,0.85,0.62,78.5,2.5,149.0,0.26,288.0,3.91,2.38,0.15,0.15,0.01,0.2,0.29,35,1.3,0.05,1360.0,16.15,0.02,0.26,5.7,210,60.6,10.9,0.001,0.03,0.49,2.0,0.3,1.1,33.0,<0.01,0.03,6.8,<0.005,0.05,1.65,1,0.72,10.6,125.0,6.6
,1278.0,JAT-P3,QA/QC,,,,,,BLANK SAMPLE,<0.01,0.01,0.27,0.2,<0.02,<10,10,0.25,0.03,0.05,0.01,2.56,0.5,120.0,0.11,2.4,0.34,0.99,0.06,0.13,<0.01,0.005,0.29,1.2,0.5,0.01,49.0,9.3,0.03,0.18,2.6,<10,11.8,11.0,0.002,<0.01,0.05,0.3,<0.2,<0.2,1.9,<0.01,<0.01,4.1,<0.005,0.07,1.72,2,0.08,1.62,3.0,2.6
RC.BH26.040,1279.0,JAT-P3,RC,498924.974,2144283.431,293.298,40,41,,0.4,0.34,0.55,2.3,0.31,<10,50,1.22,1.89,0.46,0.23,98.9,3.1,15.0,0.82,62.4,4.46,4.22,0.17,0.16,0.06,0.155,0.18,44.3,2.1,0.13,2640.0,11.9,0.02,0.33,4.2,580,26.3,13.0,0.001,0.01,0.17,4.6,0.4,0.9,52.2,<0.01,0.01,8.3,0.01,0.08,2.52,6,0.39,25.3,88.0,6.5
RC.BH26.041,1280.0,JAT-P3,RC,498924.974,2144283.431,292.298,41,42,,0.13,0.36,0.34,3.3,0.05,<10,20,0.7,1.21,0.29,0.14,120,1.6,14.0,0.52,45.2,2.29,3.19,0.15,0.17,0.04,0.105,0.16,55.1,1.7,0.12,925.0,5.28,0.02,1.89,3.5,210,103.0,12.1,0.002,0.02,0.26,3.0,0.3,1.3,17.2,0.01,0.01,15.5,0.01,0.08,6.22,3,0.9,26.2,46.0,5.3
RC.BH26.042,1281.0,JAT-P3,RC,498924.974,2144283.431,291.298,42,43,,<0.01,0.06,0.47,1,<0.02,<10,30,1.06,0.18,0.16,0.11,157,2.0,129.0,0.58,6.7,2.54,4.27,0.18,0.26,<0.01,0.101,0.2,70.2,1.7,0.1,858.0,12.3,0.06,1.35,4.4,120,6.7,14.2,0.002,0.01,0.11,3.0,0.4,1.4,18.6,0.01,<0.01,16.5,0.013,0.08,2.49,2,0.82,35.1,67.0,8.6
RC.BH27.004,1282.0,JAT-P3,RC,498893.224,2144455.678,329.352,5,6,,0.01,0.05,1.42,1.5,<0.02,<10,130,1.15,0.25,3.55,0.11,72.4,8.7,133.0,1.76,42.7,2.25,6.19,0.12,0.06,<0.01,0.066,0.42,28.2,7.5,0.66,452.0,10.2,0.13,0.15,16.5,270,8.9,50.7,0.001,0.02,0.13,5.2,0.2,1.6,50.3,<0.01,0.02,15.2,0.083,0.3,1.2,43,0.32,22.8,60.0,1.5
RC.BH27.005,1283.0,JAT-P3,RC,498893.224,2144455.678,328.352,6,7,,<0.01,0.12,1.02,7.1,<0.02,<10,130,1.31,0.29,2.57,0.41,69.5,9.3,136.0,1.07,51.5,2.67,4.58,0.11,0.07,<0.01,0.071,0.39,32.7,5.0,0.38,598.0,12.4,0.09,0.16,16.1,340,9.1,34.8,0.002,0.02,0.23,5.4,0.2,1.5,31.8,<0.01,0.01,15.3,0.04,0.24,2.94,42,0.46,18.7,103.0,2.3
RC.BH27.006,1284.0,JAT-P3,RC,498893.224,2144455.678,327.352,7,8,,<0.01,0.06,1.51,7.2,<0.02,<10,120,1.36,0.23,2.23,0.18,64.2,11.1,155.0,1.65,27.4,2.75,5.98,0.07,0.05,0.01,0.062,0.53,31.1,8.3,0.66,535.0,11.65,0.12,0.12,20.8,330,8.6,60.7,0.001,0.02,0.14,6.5,0.4,1.5,33.7,<0.01,<0.01,12.2,0.074,0.38,1.94,41,1.99,19.55,69.0,1.8
RC.BH27.007,1285.0,JAT-P3,RC,498893.224,2144455.678,326.352,8,9,,<0.01,0.11,1.38,7.2,<0.02,<10,100,1.27,0.25,0.66,0.09,69.1,7.7,150.0,1.37,44.5,2.76,6.58,0.08,0.05,<0.01,0.072,0.41,32.8,6.0,0.5,378.0,14.8,0.13,0.1,12.0,290,8.7,51.8,0.002,0.02,0.2,8.6,0.3,1.4,29.2,<0.01,0.01,12.8,0.077,0.42,1.5,44,0.32,19.55,68.0,1.5
RC.BH27.008,1286.0,JAT-P3,RC,498893.224,2144455.678,325.352,9,10,,<0.01,0.09,1.07,12.7,<0.02,<10,110,1.34,0.5,1.38,0.2,72.7,8.2,138.0,0.71,32.8,2.23,5.07,0.08,0.04,<0.01,0.089,0.25,36.6,3.4,0.31,648.0,16.55,0.1,0.07,13.2,310,15.1,24.9,0.001,0.01,0.63,7.1,0.2,2,30.3,<0.01,0.01,13.7,0.017,0.35,1.97,32,0.32,25.4,73.0,1.4
RC.BH27.009,1287.0,JAT-P3,RC,498893.224,2144455.678,324.352,10,11,,<0.01,0.09,1.72,7.4,<0.02,<10,140,1.64,0.31,0.97,0.14,76.6,10.6,140.0,1.92,33.6,3.32,7.72,0.08,0.05,0.01,0.069,0.42,38.2,7.6,0.65,583.0,14.65,0.17,0.08,13.3,550,9.2,56.9,0.002,0.01,0.3,9.2,0.3,1.3,38.7,<0.01,0.02,11.8,0.072,0.52,1.24,54,0.23,22.7,76.0,1.6
RC.BH27.010,1288.0,JAT-P3,RC,498893.224,2144455.678,323.352,11,12,,<0.01,0.07,0.76,8.6,<0.02,<10,80,1.14,0.59,2.67,0.16,71.9,7.1,128.0,0.34,26.0,2.73,3.11,0.09,0.04,0.01,0.178,0.28,35.1,1.9,0.16,821.0,12.35,0.06,0.1,10.1,330,13.2,17.6,0.002,0.01,0.25,4.4,0.5,3.8,27.7,<0.01,0.01,14.3,0.01,0.14,3.42,15,0.39,20.1,56.0,1.8
RC.BH27.011,1289.0,JAT-P3,RC,498893.224,2144455.678,322.352,12,13,,<0.01,0.08,0.85,7.1,<0.02,<10,100,1.49,1.19,3.25,0.21,57.2,9.2,145.0,0.69,51.7,2.61,3.47,0.05,0.06,0.01,0.278,0.33,27.1,3.3,0.24,762.0,13.05,0.05,0.1,12.8,350,10.1,24.9,0.002,<0.01,0.19,4.0,0.3,6.8,30.8,<0.01,<0.01,11.7,0.013,0.21,2.76,32,0.36,19.15,55.0,1.9
RC.BH27.012,1290.0,JAT-P3,RC,498893.224,2144455.678,321.352,13,14,,<0.01,0.06,0.92,3.5,<0.02,<10,70,1.28,0.35,1.45,0.18,45.1,7.4,152.0,1.44,33.4,2.22,5.15,0.05,0.07,<0.01,0.208,0.34,21.6,4.0,0.26,489.0,13.15,0.06,0.35,12.2,260,13.1,34.6,0.001,<0.01,0.11,3.7,0.4,5.5,17.4,<0.01,<0.01,11.3,0.025,0.24,3.71,27,0.57,22.3,89.0,2.1
RC.BH27.013,1291.0,JAT-P3,RC,498893.224,2144455.678,320.352,14,15,,0.02,0.16,0.79,10.9,0.02,<10,110,1.33,2.17,1.66,0.59,75.7,10.8,130.0,0.41,99.9,3.62,2.88,0.08,0.07,<0.01,0.432,0.34,37.3,2.1,0.11,2040.0,12.5,0.03,0.08,15.3,410,15.2,18.0,0.002,<0.01,0.3,3.6,0.4,6.3,35.9,<0.01,0.01,14.4,0.006,0.14,2.18,24,0.42,18.05,165.0,2.9
RC.BH27.014,1292.0,JAT-P3,RC,498893.224,2144455.678,319.352,15,16,QA/QC,13.4,3.45,0.29,15.2,12.4,<10,130,0.61,362.0,0.07,1.16,13.4,21.1,74.0,0.08,5340.0,21.9,1.18,0.09,0.05,0.01,1.885,0.19,7.3,0.5,0.02,17250.0,13.95,0.02,0.07,24.2,40,129.5,5.5,0.001,0.03,0.55,5.4,0.9,1.5,60.0,<0.01,0.16,2.1,<0.005,0.14,3.28,24,0.61,10.45,166.0,1.6
RC.BH27.015,1293.0,JAT-P3,RC,498893.224,2144455.678,318.352,16,17,,0.31,0.37,0.44,20.2,0.23,<10,210,1.58,16.15,2.21,0.66,55.5,8.3,118.0,0.16,581.0,2.96,1.78,0.07,0.09,0.01,0.2,0.31,27.3,1.3,0.05,3970.0,17.95,0.01,0.3,11.7,160,18.5,12.5,0.001,<0.01,0.4,2.0,0.3,0.8,47.1,0.01,0.04,8.5,<0.005,0.13,1.74,15,0.95,14.65,70.0,3.5
RC.BH27.016,1294.0,JAT-P3,RC,498893.224,2144455.678,317.352,17,18,,0.02,0.09,0.59,14.6,0.02,<10,70,1.25,1.36,2.99,0.28,51.9,9.3,127.0,0.25,87.9,2.88,1.93,0.05,0.07,<0.01,0.077,0.32,25.4,1.1,0.08,1420.0,12.35,0.01,0.2,11.2,290,6.4,14.8,0.001,<0.01,0.24,3.5,0.2,0.9,34.0,<0.01,<0.01,8.8,<0.005,0.1,2.22,14,0.56,11.8,47.0,2.7
RC.BH27.017,1295.0,JAT-P3,RC,498893.224,2144455.678,316.352,18,19,,<0.01,0.05,1.68,4.6,<0.02,<10,50,1.32,0.33,2.88,0.15,54.1,13.8,107.0,3.03,18.4,4.17,6.41,0.06,0.09,<0.01,0.067,0.59,26.4,5.7,0.74,978.0,7.99,0.03,0.05,23.2,420,8.2,50.6,0.001,<0.01,0.17,9.8,<0.2,1.3,39.5,<0.01,<0.01,8.7,0.048,0.33,2.54,67,0.3,14.1,80.0,3.1
RC.BH27.018,1296.0,JAT-P3,RC,498893.224,2144455.678,315.352,19,20,,0.01,0.06,1.45,6.5,<0.02,<10,50,2.02,0.41,2.52,0.17,54.4,12.3,102.0,1.85,77.3,3.91,5.3,0.06,0.08,0.01,0.054,0.42,26.2,5.7,0.52,725.0,8.37,0.03,<0.05,19.2,490,10.8,34.6,0.001,<0.01,0.29,6.4,<0.2,1,32.4,<0.01,<0.01,8.6,0.025,0.21,2.33,42,0.37,13.1,73.0,2.8
