Field No,lab Serial,Prospect,Type,x,y,z,Depth(m),Unnamed: 8,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,,,,,,,From,To,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC.BH19.033,913.0,JAT-P3,RC,498794.926,2144447.1,302.51,32,33,,0.01,0.04,1.62,1.2,<0.02,<10,20,1.31,0.16,1.46,0.33,>500,2.2,80.0,0.66,6.9,3.55,16.65,0.89,0.18,<0.01,0.221,0.17,760,8.3,0.46,531.0,9.18,0.03,0.2,11.8,270,5.8,8.6,0.003,<0.01,0.09,3.0,0.4,1.2,31.5,0.01,<0.01,63,0.014,0.1,3.53,8,0.22,42.2,172.0,4
RC.BH19.034,914.0,JAT-P3,RC,498794.926,2144447.1,301.51,33,34,,0.01,0.18,1.53,6.2,<0.02,<10,50,1.92,0.46,3.99,1.18,>500,9.5,104.0,0.4,41.0,4.58,9.76,0.44,0.14,0.01,0.11,0.19,310,14.9,0.46,1050.0,22.5,0.02,0.09,64.2,520,8.8,8.1,0.015,0.17,0.2,5.4,3.9,1.3,40.0,0.01,0.01,27.3,<0.005,0.21,3.33,109,0.49,22.2,145.0,3.7
RC.BH19.035,915.0,JAT-P3,RC,498794.926,2144447.1,300.51,34,35,,0.01,0.07,1.51,9.5,<0.02,<10,60,1.92,0.34,3.85,0.5,>500,11.7,99.0,0.55,45.1,3.77,9.63,0.36,0.13,<0.01,0.126,0.21,260,14.2,0.46,1060.0,17.95,0.02,0.09,49.8,440,9.9,8.8,0.004,0.04,0.24,5.1,1.5,1,39.7,0.01,0.03,22,<0.005,0.28,2.69,48,0.29,22.4,160.0,3.2
RC.BH19.036,916.0,JAT-P3,RC,498794.926,2144447.1,299.51,35,36,,<0.01,0.15,1.35,3.5,<0.02,<10,50,1.89,0.52,3.57,0.92,>500,5.7,87.0,0.91,31.7,3.79,12.85,0.72,0.18,<0.01,0.173,0.19,550,10.1,0.34,627.0,19.35,0.02,0.24,46.2,490,8.8,10.7,0.013,0.09,0.2,3.9,2.1,1.3,42.4,0.01,0.03,51.8,0.009,0.17,4.48,65,0.55,42.9,172.0,4
RC.BH19.037,917.0,JAT-P3,RC,498794.926,2144447.1,298.51,36,37,,0.01,0.22,1.93,13,<0.02,<10,100,3.06,3.19,6.13,1.49,154.5,17.8,108.0,3.79,70.5,4.75,11.95,0.19,0.19,<0.01,0.18,0.29,86.3,15.9,0.89,1050.0,13.1,0.03,0.47,87.1,600,12.9,43.0,0.011,0.2,0.18,9.7,3.5,19.3,59.8,0.02,0.02,9.9,0.019,0.51,5.2,110,0.45,47.1,231.0,3.2
RC.BH19.038,918.0,JAT-P3,RC,498794.926,2144447.1,297.51,37,38,,<0.01,0.06,2.86,10,<0.02,<10,150,3.25,0.73,4.89,0.64,102,34.2,137.0,6.03,61.6,6.53,12.3,0.21,0.16,<0.01,0.116,0.42,52.8,26.0,1.59,1580.0,7.01,0.05,0.1,81.6,750,6.0,57.2,0.002,0.01,0.12,18.2,1.1,14.7,67.2,0.01,0.05,5.9,0.073,0.54,3.87,174,0.2,26.5,168.0,2.3
RC.BH19.039,919.0,JAT-P3,RC,498794.926,2144447.1,296.51,38,39,,<0.01,0.02,1.18,2.6,<0.02,<10,40,1.18,0.17,1.33,0.23,>500,4.0,90.0,1.54,12.1,3.5,11.5,0.57,0.22,0.01,0.149,0.42,440,9.7,0.25,691.0,10.3,0.05,1.28,13.0,270,5.1,28.8,0.002,<0.01,0.1,3.2,0.3,1.9,24.0,0.01,0.01,39.8,0.078,0.22,3.05,10,0.26,27.1,139.0,7.2
RC.BH19.040,920.0,JAT-P3,RC,498794.926,2144447.1,295.51,39,40,,0.01,0.04,1.01,3,<0.02,<10,40,1.05,0.1,0.95,0.17,>500,3.8,81.0,1.05,15.2,3.46,11.4,0.58,0.23,0.01,0.173,0.45,400,9.8,0.19,576.0,10.3,0.05,1.59,7.4,390,4.3,28.5,0.001,<0.01,0.09,3.4,<0.2,0.8,18.5,0.01,0.01,38.7,0.096,0.17,3.05,6,0.3,29.6,130.0,6.1
RC.BH19.041,921.0,JAT-P3,RC,498794.926,2144447.1,294.51,40,41,,0.01,0.07,1.9,4.6,<0.02,<10,100,1.11,0.2,2.49,0.2,>500,19.8,105.0,3.51,58.7,5.25,13.05,0.5,0.23,<0.01,0.126,0.7,290,22.7,1.05,972.0,7.87,0.07,0.36,46.0,590,3.3,49.4,0.002,0.02,0.12,12.8,0.8,0.8,41.1,0.01,0.01,27.2,0.215,0.37,2.23,100,0.23,25.5,131.0,5.6
RC.BH19.042,922.0,JAT-P3,RC,498794.926,2144447.1,293.51,41,42,,<0.01,0.04,1.6,5,<0.02,<10,80,1.41,0.16,1.9,0.24,>500,12.5,92.0,3.46,22.1,4.77,13.45,0.55,0.19,<0.01,0.155,0.78,330,19.9,0.62,855.0,9.95,0.05,0.84,27.9,440,3.8,65.7,0.003,0.01,0.1,9.6,0.4,1.1,30.1,0.01,<0.01,32.6,0.162,0.35,2.35,59,0.28,27.4,148.0,5.5
