Serial    No,Sample Discription,Unnamed: 2,Interval (m),Unnamed: 4,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,Lab ID,Field ID,From,To,,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
108.0,P1/D/BH4/015,S015 ,17,18,QA/QC,0.04,0.91,0.34,11.5,0.04,<10,60,0.78,1.37,0.02,0.15,22,6.2,9,0.06,72,5.16,1.73,0.08,0.06,0.01,0.168,0.13,10.2,0.6,0.01,210,1.04,0.01,<0.05,12.3,160,79.8,5.6,<0.001,<0.01,0.4,4.4,<0.2,0.9,5.7,<0.01,0.01,3.6,0.011,0.03,0.92,39,0.21,7.28,55,2.4
109.0,P1/D/BH4/016,S016 ,,,DUPL OF P1/D/BH4/015,0.05,1.08,0.3,12.9,0.04,<10,50,0.66,1.33,0.02,0.11,19.1,5.3,8,0.05,67.8,4.64,1.45,0.07,0.06,0.01,0.164,0.12,8.7,0.6,0.01,216,0.93,0.01,0.05,10.5,120,69,4.9,<0.001,<0.01,0.37,3.4,<0.2,0.8,4.9,<0.01,<0.01,3.1,0.009,0.03,0.81,33,0.25,5.72,46,1.9
110.0,P1/D/BH4/017,S017 ,,,BLANK,<0.01,0.02,0.36,0.4,<0.02,<10,40,1.13,0.03,0.62,0.01,128.5,1.1,15,0.28,11,1.65,2.46,0.11,1.94,<0.01,0.006,0.23,80,1.6,0.07,147,5.22,0.09,0.4,4.2,160,27.2,21.5,<0.001,0.03,0.07,1,<0.2,0.8,61,<0.01,<0.01,90.8,0.005,0.1,11.8,5,0.08,6.32,7,50.2
111.0,P1/D/BH4/018,S018 ,18,"18,60",,0.03,0.29,0.17,35,0.03,<10,50,0.31,2.38,0.01,0.05,34.3,16.9,8,<0.05,32.6,2.03,0.79,0.07,0.04,<0.01,0.049,0.13,17.1,0.6,0.01,154,0.99,0.01,<0.05,14.2,40,4,5.1,<0.001,<0.01,0.18,1,<0.2,0.2,1.7,<0.01,0.03,7.5,<0.005,0.03,0.56,6,0.22,4.17,18,1.1
112.0,P1/D/BH4/019,S019 ,"18,60",19,,0.01,0.14,0.29,7.9,<0.02,<10,40,0.29,0.27,0.04,0.03,56.1,3.8,10,0.06,26,1.22,1.15,0.09,0.08,<0.01,0.024,0.16,26.9,0.5,0.01,121,1.09,0.01,<0.05,6.4,160,2.2,6.3,<0.001,<0.01,0.13,1.3,<0.2,0.6,2.5,<0.01,0.01,17.2,<0.005,0.03,0.72,7,0.12,6.18,16,2.5
113.0,P1/D/BH4/020,S020 ,19,20,,0.01,0.11,0.3,3.6,<0.02,<10,30,0.31,0.33,0.02,0.05,50.3,2.8,8,0.05,22.5,1.62,1,0.09,0.07,<0.01,0.024,0.15,24.4,0.4,0.01,118,0.77,0.01,<0.05,5.8,90,1.7,5.6,<0.001,<0.01,0.14,0.8,<0.2,0.2,1.6,<0.01,0.01,16.3,<0.005,0.03,0.74,5,0.11,4.27,25,2
114.0,P1/D/BH4/021,S021 ,20,21,,0.01,0.18,0.25,4.4,<0.02,<10,30,0.24,0.21,0.02,0.06,47.2,3,6,0.05,19,1.27,0.93,0.08,0.04,<0.01,0.03,0.14,23.2,0.4,0.01,232,0.71,0.01,0.05,4.6,90,3.8,5.6,<0.001,<0.01,0.11,0.7,<0.2,0.3,2.7,<0.01,0.01,14.5,<0.005,0.03,0.61,4,0.09,4.92,20,1.2
115.0,P1/D/BH4/022,S022 ,21,22,,0.01,0.13,0.27,4.6,<0.02,<10,30,0.23,0.14,0.03,0.17,44.7,5.2,8,<0.05,31.2,2.22,0.92,0.08,0.09,<0.01,0.043,0.11,21.5,0.4,0.01,402,1.3,0.01,<0.05,7.9,150,28.3,4.8,<0.001,<0.01,0.12,2.1,<0.2,0.8,3.6,<0.01,<0.01,17.4,<0.005,0.03,1.49,10,0.05,5.08,48,2.6
116.0,P1/D/BH4/023,S023 ,22,"22,60",,0.01,0.06,0.18,2.4,<0.02,<10,20,0.19,0.04,0.02,0.14,10.35,3.5,12,<0.05,14.5,2.43,0.67,0.07,0.03,<0.01,0.038,0.04,4.8,0.2,0.01,216,1.2,0.01,<0.05,6.9,70,14.5,1.9,<0.001,<0.01,0.1,2.7,0.2,0.2,1.9,<0.01,0.01,2.1,<0.005,<0.02,1.19,17,0.05,2.94,32,0.9
117.0,P1/D/BH4/024,S024 ,"22,60",23,,0.01,0.08,0.31,3.3,<0.02,<10,20,0.27,0.42,0.01,0.11,54.7,4.7,7,0.05,60.1,1.96,1.03,0.09,0.11,<0.01,0.035,0.08,26.2,0.4,0.01,224,1.01,0.01,<0.05,7.7,70,38,4.2,<0.001,<0.01,0.08,1.6,<0.2,0.2,3.4,<0.01,<0.01,19.9,<0.005,0.02,1.23,8,0.05,5.76,40,3.2
118.0,P1/D/BH4/025,S025 ,23,24,,0.03,0.07,0.24,11.5,0.02,<10,20,0.25,0.53,0.01,0.04,44.5,2.9,8,0.05,26.7,1.48,0.89,0.08,0.08,<0.01,0.036,0.1,21.8,0.3,0.01,90,1.12,0.01,<0.05,4.9,70,7.3,4.1,<0.001,0.01,0.12,0.9,0.5,0.7,2.3,<0.01,0.01,15.3,<0.005,0.02,0.77,5,0.09,4.23,12,2.2
119.0,P1/D/BH4/026,S026 ,24,25,,0.31,0.14,0.3,59.7,0.23,<10,40,0.49,2.34,0.02,0.16,49.3,10.8,7,0.1,68.1,3.31,1.11,0.09,0.06,<0.01,0.037,0.15,24,0.5,0.02,398,0.97,0.01,<0.05,10,130,2.4,6.3,<0.001,<0.01,0.1,1.4,1.9,0.4,4.7,<0.01,0.02,17.8,<0.005,0.05,2.88,14,0.07,6.37,36,1.6
120.0,P1/D/BH4/027,S027 ,25,26,,0.05,0.28,0.25,19.8,0.02,<10,80,0.45,2.37,0.04,0.24,37.3,8.2,6,0.07,46,2.87,0.85,0.08,0.05,<0.01,0.052,0.15,18.2,0.5,0.04,733,0.82,0.01,<0.05,9.6,70,20.5,6.3,<0.001,<0.01,0.11,1.2,0.2,0.3,10.4,<0.01,<0.01,21.7,<0.005,0.06,4.6,10,0.07,6.75,64,1.5
121.0,P1/D/BH4/028,S028 ,26,27,,0.11,0.2,0.22,13.4,0.24,<10,40,0.27,0.72,0.04,0.2,39.1,2.4,8,0.08,24,1.45,0.7,0.07,0.05,<0.01,0.017,0.12,18.6,0.3,0.02,302,0.58,0.02,<0.05,3.5,60,66.9,5.1,<0.001,0.02,0.14,0.4,0.2,0.3,4.2,<0.01,0.02,18.4,<0.005,0.04,2.59,5,0.05,3.95,90,1.5
122.0,P1/D/BH4/029,S029 ,27,28,,0.07,0.13,0.23,8.1,0.09,<10,20,0.3,0.61,0.04,0.1,43.8,2.2,8,0.06,11.5,1.39,0.76,0.08,0.07,<0.01,0.017,0.11,20.6,0.3,0.03,267,0.85,0.02,<0.05,3.4,50,22.5,4.6,<0.001,<0.01,0.08,0.5,<0.2,0.6,5.2,<0.01,0.01,30.2,<0.005,0.04,2.86,6,0.05,5.01,23,1.9
123.0,P1/D/BH4/030,S030 ,28,29,,0.05,0.15,0.23,5,0.02,<10,40,0.27,0.27,0.05,0.15,38.7,2.5,8,0.09,16,1.37,0.84,0.08,0.04,<0.01,0.016,0.11,17.7,0.3,0.03,382,0.53,0.04,<0.05,3.3,70,22.9,4.8,<0.001,<0.01,0.07,0.6,<0.2,0.3,6.5,<0.01,<0.01,15,<0.005,0.06,2.63,5,<0.05,5.22,47,0.9
124.0,P1/D/BH4/031,S031 ,,,DUPL OF P1/D/BH4/036,0.02,0.07,0.03,11.3,<0.02,<10,10,0.09,0.07,0.01,0.1,1.36,1.9,10,<0.05,17.5,2.15,0.22,0.05,<0.02,<0.01,0.044,0.01,0.7,0.1,<0.01,192,0.83,<0.01,<0.05,3.6,<10,3.5,0.7,<0.001,0.12,0.14,0.3,0.4,<0.2,1.3,<0.01,0.01,0.5,<0.005,0.02,0.17,4,0.08,0.31,18,<0.5
125.0,P1/D/BH4/032,S032 ,29,30,,0.22,0.12,0.21,18.5,0.09,<10,50,0.34,0.24,0.03,0.43,32,4.7,8,0.06,6.8,3.75,0.74,0.07,0.04,<0.01,0.065,0.12,15.6,0.4,0.03,839,1.02,0.01,<0.05,6.3,50,6.5,5,<0.001,<0.01,0.12,1.1,0.2,0.6,8.7,<0.01,<0.01,14.6,<0.005,0.06,3.19,9,0.07,5.17,51,1.4
126.0,P1/D/BH4/033,S033 ,30,"30,40",,0.24,0.22,0.27,28,0.08,<10,100,0.25,0.78,0.02,0.17,42.4,2.4,7,0.07,6.2,2.38,0.87,0.09,0.07,0.01,0.025,0.14,20.3,0.4,0.01,232,1,0.01,<0.05,4,80,25.2,5.9,<0.001,<0.01,0.14,0.5,<0.2,0.2,7.6,<0.01,0.02,15.2,<0.005,0.07,1,5,0.06,2.57,75,2
127.0,P1/D/BH4/034,S034 ,"30,40","31,20",,0.86,0.72,0.18,72.5,0.94,<10,240,0.29,0.18,0.01,0.18,19.5,3,7,0.05,5.5,5.66,0.92,0.08,0.04,0.01,0.079,0.13,9.3,0.4,0.01,232,0.96,0.01,<0.05,4.2,60,10.4,5.2,<0.001,0.2,0.18,0.9,1.1,0.4,16,<0.01,0.01,6.5,<0.005,0.08,0.88,7,0.08,1.73,38,1.3
128.0,P1/D/BH4/035,S035 ,"31,20",32,,0.64,0.12,0.2,37.2,0.27,<10,30,0.24,0.64,0.02,0.13,37.3,1.7,8,0.05,14.2,3.16,1.03,0.07,0.05,<0.01,0.048,0.11,18.7,0.3,0.01,116,1.22,0.01,<0.05,4.1,90,21.1,4.4,<0.001,<0.01,0.18,0.8,0.3,0.7,11.4,<0.01,0.01,9.1,<0.005,0.03,0.64,5,0.05,1.82,50,1.3
129.0,P1/D/BH4/036,S036 ,32,33,QA/QC,0.02,0.08,0.03,9.9,<0.02,<10,20,0.07,0.07,0.01,0.1,1.74,1.7,11,<0.05,13.8,2.27,0.27,0.06,<0.02,0.01,0.039,0.02,0.8,0.1,<0.01,184,0.9,<0.01,<0.05,3.8,10,3.2,0.9,<0.001,0.1,0.16,0.3,0.2,<0.2,1.3,<0.01,0.01,0.5,<0.005,<0.02,0.17,4,0.08,0.3,16,<0.5
130.0,P1/D/BH4/037,S037 ,,,BLANK,<0.01,0.02,0.29,0.4,<0.02,<10,40,1.02,0.02,0.63,0.01,122.5,1.5,14,0.24,13.6,1.44,2,0.11,1.88,<0.01,0.005,0.18,76.1,1.3,0.08,125,5.15,0.07,0.46,3.8,150,27,16.5,<0.001,0.07,0.07,0.9,<0.2,0.9,60.5,<0.01,0.01,95.3,0.005,0.08,11.85,5,0.08,5.22,7,49
131.0,P1/D/BH4/038,S038 ,33,34,,0.01,0.06,0.34,1.9,0.02,<10,30,0.29,0.06,0.04,0.15,72.3,1.9,8,0.34,10.9,1.34,2.08,0.08,0.07,<0.01,0.02,0.19,23.6,0.7,0.04,180,0.9,0.02,0.26,2.8,90,8.3,15.9,<0.001,<0.01,0.08,1.7,<0.2,1.3,4.5,<0.01,0.02,24.2,0.018,0.09,1.73,6,<0.05,11,47,1.8
132.0,P1/D/BH4/039,S039 ,34,35,,0.01,0.06,0.25,2.5,<0.02,<10,30,0.28,0.07,0.08,0.1,89.3,1.2,7,0.25,13.1,1.21,1.84,0.11,0.04,<0.01,0.025,0.13,27.9,0.5,0.04,181,0.74,0.03,0.44,2,140,7,9.2,<0.001,<0.01,0.07,1.2,<0.2,0.8,6.7,<0.01,0.02,24.2,0.009,0.05,1.83,6,<0.05,12.15,38,1.1
133.0,P1/D/BH4/040,S040 ,35,36,,<0.01,0.05,0.36,0.4,<0.02,<10,30,0.23,0.02,0.07,0.06,64.6,0.9,7,0.46,4.9,1.37,2.47,0.09,0.03,0.01,0.023,0.2,13.1,0.9,0.06,160,0.54,0.03,0.43,1.5,80,6.1,18.5,<0.001,<0.01,0.06,1.8,<0.2,1.7,6.3,<0.01,<0.01,22.2,0.03,0.11,1.22,8,<0.05,10.95,43,0.8
134.0,P1/D/BH4/041,S041 ,36,37,,<0.01,0.05,0.35,0.9,<0.02,<10,30,0.2,0.02,0.07,0.04,55.8,1.1,7,0.43,6.9,1.22,2.38,0.09,0.03,<0.01,0.023,0.19,18.3,0.9,0.06,136,0.71,0.03,0.32,2.1,90,4.5,17.3,<0.001,<0.01,0.08,1.8,<0.2,1.7,6.4,<0.01,<0.01,25.3,0.026,0.1,1.24,7,<0.05,13.05,41,0.7
135.0,P1/D/BH4/042,S042 ,37,40,,0.04,0.1,0.24,2.5,0.02,<10,40,0.32,0.13,0.06,0.08,55.6,1.6,8,0.22,30.8,1.27,1.41,0.08,0.04,<0.01,0.017,0.12,26.7,0.4,0.04,204,0.67,0.03,0.24,2.9,90,6.7,6.6,<0.001,<0.01,0.09,0.9,0.2,0.4,6.7,<0.01,0.01,18.8,<0.005,0.03,1.7,6,<0.05,8.7,28,1
