Serial    No,Sample Discription,Unnamed: 2,Interval (m),Unnamed: 4,QA/QC,Au,Ag,Al,As,Au.1,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
,Lab ID,Field ID,From,To,,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,%,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm
70.0,P1/D/BH3-1/010,S010,24.2,25.2,,<0.01,0.13,0.43,4.6,<0.02,<10,30,0.67,0.05,0.02,0.14,288,1.2,7,0.05,11.5,3.05,5.66,0.27,0.88,0.01,0.1,0.02,157,1.1,0.01,405,4.83,<0.01,8.4,5.4,120,9.7,1.1,<0.001,<0.01,0.79,0.1,<0.2,3.2,8.4,0.03,0.02,13,0.014,0.04,1.41,7,0.25,9.75,90,35.8
71.0,P1/D/BH3-1/011,S011,25.2,26.2,,<0.01,0.07,0.3,2.7,<0.02,<10,30,0.75,0.05,0.02,0.66,299,3.2,3,0.05,8.9,4.1,3.86,0.25,0.48,0.03,0.102,0.03,161,0.7,0.01,2140,7.49,0.01,2.28,2.8,50,6.4,0.9,<0.001,<0.01,0.3,0.1,<0.2,1.9,7.5,0.01,0.01,8.9,0.005,0.1,1.2,1,0.08,8.6,217,21.1
72.0,P1/D/BH3-1/012,S012,26.2,27.2,,<0.01,0.09,0.52,5.6,<0.02,<10,30,1.3,0.06,0.02,0.8,440,4.6,4,0.05,7,6.12,6.43,0.37,0.92,0.02,0.174,0.04,230,1.3,0.01,2820,8.73,0.01,4.32,6.5,120,11.9,1.1,<0.001,<0.01,0.39,0.2,<0.2,3.4,10.8,0.02,<0.01,12.2,0.009,0.1,2.07,1,0.1,13.05,397,40.2
73.0,P1/D/BH3-1/013,S013,27.2,28.2,,0.01,0.09,0.43,4.7,<0.02,<10,20,0.72,0.05,0.02,0.25,259,1.9,5,0.05,5.8,4.14,5.2,0.26,0.83,0.01,0.132,0.03,131.5,1.2,0.01,729,8.47,0.01,2.81,4,110,8.5,1.1,<0.001,<0.01,0.28,0.2,<0.2,2.5,7.7,0.02,0.01,12.3,0.005,0.06,1.58,1,0.07,12.4,192,35.3
74.0,P1/D/BH3-1/014,S014,28.2,29.2,,<0.01,0.15,0.57,2.6,<0.02,<10,10,0.75,0.06,0.02,0.78,>500,4.3,5,0.05,12.2,4.75,7.93,0.49,1.17,0.01,0.187,0.05,340,1.7,0.01,3560,12,0.01,6.5,3.7,80,9.1,1,0.001,0.02,0.29,0.2,<0.2,2.7,15.7,0.07,0.01,11,0.006,0.08,1.79,1,0.07,17.4,284,54.5
75.0,P1/D/BH3-1/015,S015,29.2,30.2,,0.03,0.11,0.42,6.5,<0.02,<10,30,0.85,0.07,0.02,0.26,173,1.3,4,0.05,6.1,4.46,4.84,0.19,1.03,0.01,0.126,0.05,85,1.7,0.01,467,6.45,0.01,2.02,3,70,9.7,2.4,<0.001,<0.01,0.36,0.2,<0.2,2.1,7.1,0.01,<0.01,9,0.006,0.05,1.1,2,<0.05,13.05,167,41.8
76.0,P1/D/BH3-1/016,S016,,,DUPL OF P1/D/BH3-1/019,0.01,0.05,0.07,7.1,<0.02,<10,10,0.19,0.05,0.01,0.08,9.39,4.8,9,<0.05,2.3,2.79,0.67,0.06,0.05,<0.01,0.038,0.05,4.8,0.3,0.01,1050,3.21,<0.01,0.2,6.2,50,3.4,2.1,<0.001,<0.01,0.19,0.8,<0.2,0.2,2.8,<0.01,<0.01,0.5,<0.005,0.08,0.34,2,0.05,1.4,53,2
77.0,P1/D/BH3-1/017,S017,30.2,31.2,,0.02,0.08,0.07,4.3,0.02,<10,10,0.22,0.06,0.01,0.1,12.2,3.5,10,<0.05,5.7,2.79,0.61,0.06,0.04,<0.01,0.045,0.05,5.2,0.5,0.01,1190,2.47,<0.01,0.18,5.4,40,2.3,2.3,<0.001,<0.01,0.2,0.8,<0.2,0.2,3.2,<0.01,<0.01,0.6,<0.005,0.09,0.39,2,0.18,1.4,53,1.6
78.0,P1/D/BH3-1/018,S018,31.2,32.2,,<0.01,0.19,0.6,5.3,<0.02,<10,130,1.48,0.08,0.15,0.37,386,7.9,7,0.1,27.9,5.69,7.06,0.4,0.67,0.01,0.136,0.12,210,3.3,0.03,3300,6.61,0.01,7.87,12,720,9.5,5.7,<0.001,<0.01,0.38,2.5,<0.2,5.5,34.4,0.02,0.01,11.7,0.028,0.11,2.3,17,0.23,24.3,286,29.1
79.0,P1/D/BH3-1/019,S019,32.2,32.9,QA/QC,<0.01,0.07,0.07,7,<0.02,<10,10,0.13,0.08,0.01,0.07,8.18,5,11,<0.05,2.5,3.09,0.68,0.05,0.02,<0.01,0.035,0.05,4,0.2,0.01,1040,3.59,<0.01,0.13,6.8,40,4,2.2,<0.001,<0.01,0.17,0.8,<0.2,0.2,2.6,<0.01,<0.01,0.5,<0.005,0.06,0.34,2,0.06,1.29,50,0.6
