Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
T0325,0.86,1.41,15.2,2.13,304,72.4,0.22,140
T0326,0.47,0.8,27.2,1.97,282,81.6,0.22,211
T0327,0.69,0.77,41.1,1.58,154,51.1,0.18,85
T0328,0.16,0.63,19.1,0.48,197,16.5,0.16,83
T0329,0.1,0.39,16.8,0.37,114.5,8,0.13,69
T0330,0.07,0.2,11.9,0.17,24.7,5.7,0.1,43
T0331,0.02,0.08,4.7,0.27,21.4,7.4,0.08,59
T0332,0.03,0.07,2.4,0.15,39.1,3.8,0.09,41
T0333,0.01,0.04,1,0.13,12,6.1,0.05,48
T0334,0.01,0.04,0.6,0.09,6.6,7.5,0.06,54
T0335,0.02,0.03,1.6,0.16,21,12.1,0.1,46
T0336,0.01,0.04,1.1,0.11,24.6,7.1,0.06,53
T0337,0.01,0.07,0.7,0.06,11.6,6.3,0.07,58
T0338,0.01,0.04,1,0.05,20.3,6.5,0.06,57
T0339,0.02,0.05,1.1,0.16,40.8,6.8,0.08,55
T0340,0.01,0.03,1.2,0.05,75.6,5.6,0.05,69
T0341,0.02,0.04,1.4,0.12,87.5,5.4,0.07,70
T0342,0.01,0.04,0.9,0.11,30.3,6.7,0.06,48
T0343,0.01,0.05,1.5,0.19,53,6.5,0.08,55
T0344,0.02,0.06,2.1,0.16,66.3,7.6,0.1,69
T0345,0.02,0.07,3.5,0.22,46.7,9.2,0.18,41
T0346,0.02,0.08,3.5,0.19,88,8.5,0.16,89
T0347,0.01,0.1,1.3,0.11,35.2,9.8,0.09,41
T0348,0.01,0.06,2.1,0.11,21.1,13.2,0.09,51
T0349,<0.01,0.05,1.1,0.07,18.7,10.5,0.07,53
T0350,0.01,0.06,1.7,0.11,48.4,12.1,0.09,65
T0351,0.01,0.03,0.9,0.05,53,8.9,0.09,81
T0352,<0.01,0.08,20.1,0.14,31.3,8.5,0.25,42
T0353,0.01,0.04,4.4,0.1,11.5,6.6,0.09,32
T0354,0.01,0.03,1.3,0.1,19.5,9.7,0.06,47
T0355,0.01,0.03,0.9,0.11,21.1,6.2,0.06,31
T0356,0.01,0.04,1.1,0.11,17.2,6.8,0.07,54
T0357,0.01,0.03,0.9,0.09,9.9,6.5,0.05,35
T0358,0.01,0.03,0.9,0.24,43.6,8.8,0.05,62
T0359,0.01,0.04,1,0.2,27.9,11.6,0.06,128
T0360,<0.01,0.08,6.2,0.25,18.9,7.1,0.11,43
T0361,0.01,0.05,1.8,0.72,52.8,9.9,0.07,106
T0362,0.03,0.05,1.3,0.85,37.1,10.6,0.07,88
