Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
R0259,<0.01,0.02,0.9,0.06,14.9,3.8,0.05,173
R0260,<0.01,0.02,1.2,0.12,4.3,5.8,0.05,127
R0261,<0.01,0.03,1.8,0.15,29.1,4.7,0.06,194
R0262,<0.01,0.06,3,0.15,40.1,11.4,0.06,425
R0263,0.01,0.04,1.9,0.32,35.3,4.1,0.08,234
R0264,<0.01,0.02,0.7,0.43,11.6,2.5,0.12,262
R0265,<0.01,0.04,1.3,0.15,37.7,4.4,0.09,377
R0266,<0.01,0.03,0.6,0.04,21.7,4.8,<0.05,288
R0267,<0.01,0.03,0.8,0.1,8.1,4.3,0.05,178
R0268,<0.01,0.03,1,0.15,26.5,4.7,0.1,154
R0269,<0.01,0.05,0.8,0.12,76.9,3,0.11,115
R0270,<0.01,0.02,0.6,0.1,15.6,4,0.05,83
R0271,<0.01,0.02,0.6,0.07,15.2,3.1,0.07,84
R0272,<0.01,0.03,0.7,0.09,43.5,3.5,0.1,111
R0273,<0.01,0.03,0.5,0.07,22.4,3.8,<0.05,80
R0274,<0.01,0.04,1.2,0.22,9.4,8.9,<0.05,78
R0275,0.08,0.11,4.1,0.31,20.8,16.4,0.09,122
R0276,<0.01,0.02,0.8,0.05,15.5,2.8,0.05,140
R0277,<0.01,0.06,0.7,0.23,41.9,4.5,0.1,157
R0278,0.01,0.07,0.6,0.1,93.4,4.2,0.1,174
R0279,<0.01,0.05,0.6,0.12,52.9,2.4,0.11,135
R0280,<0.01,0.04,0.3,0.06,24.2,3.5,<0.05,66
R0281,<0.01,0.03,0.3,0.08,15.5,3,<0.05,134
R0282,<0.01,0.01,0.1,0.02,1.9,11.9,<0.05,3
R0283,<0.01,0.03,0.5,0.08,15.7,4.1,<0.05,91
R0284,<0.01,0.04,0.4,0.11,13.3,7.5,<0.05,129
R0285,<0.01,0.06,0.6,0.15,25.4,7,0.06,159
R0286,<0.01,0.07,0.4,0.08,48.9,6.3,<0.05,164
R0287,<0.01,0.09,0.8,0.15,66.9,8.3,0.08,197
R0288,0.01,0.15,0.9,0.16,89.9,3.5,0.09,201
R0289,<0.01,0.1,0.7,0.07,66.7,2.3,0.08,136
R0290,<0.01,0.08,1.1,0.21,104.5,4.4,0.13,137
R0291,<0.01,0.06,0.8,0.11,39.2,5,0.05,124
R0292,<0.01,0.1,0.3,0.08,62.3,4.1,0.06,151
R0293,0.01,0.11,1.4,0.53,41,13,0.08,133
R0294,<0.01,0.08,1.1,0.19,58.1,6,0.1,174
R0295,0.01,0.09,0.9,0.04,113,2.5,0.1,117
R0296,<0.01,0.11,0.9,0.09,89.1,5.1,0.07,152
R0297,<0.01,0.08,0.7,0.17,67.2,4.7,0.06,168
R0298,<0.01,0.07,0.8,0.19,144.5,2,0.09,67
R0299,<0.01,0.07,1.3,0.21,116.5,2.3,0.14,100
R0300,<0.01,0.05,0.9,0.09,123.5,1.7,0.1,123
R0301,<0.01,0.03,0.3,0.07,16.5,3.3,<0.05,139
R0302,<0.01,0.04,0.8,0.1,72.3,2.2,0.07,131
R0303,<0.01,0.01,0.6,0.07,8.9,5.7,0.05,60
R0304,<0.01,0.02,0.8,0.03,3.7,9.9,<0.05,32
R0305,<0.01,0.02,1.2,0.03,2.9,10.7,0.06,9
R0306,<0.01,0.02,0.6,0.03,2.3,8.9,<0.05,8
R0307,<0.01,0.01,0.6,0.06,70.4,2.4,<0.05,156
R0308,<0.01,0.02,0.6,0.11,66.8,3.8,0.05,225
R0309,<0.01,0.02,0.6,0.1,51.4,5.2,0.05,287
R0310,<0.01,0.01,0.4,0.05,17.3,3.3,0.05,214
R0311,<0.01,0.01,0.7,0.09,16.1,3,0.07,147
R0312,<0.01,0.02,0.8,0.08,4.8,5.5,0.08,215
R0313,<0.01,0.05,1.3,0.14,37.6,4.7,0.07,181
R0314,<0.01,0.02,0.7,0.12,16.2,3.6,0.07,282
R0315,<0.01,0.02,0.5,0.03,23.8,2.4,0.06,327
R0316,<0.01,0.02,1.1,0.03,56,2.5,0.06,116
R0317,0.01,0.03,1.7,0.09,28.3,3.7,0.05,172
R0318,<0.01,0.02,0.8,0.09,21.3,3.1,0.05,189
R0319,<0.01,0.02,0.7,0.06,15.3,2.4,0.05,88
R0320,<0.01,0.02,0.9,0.09,26.3,4.1,0.08,152
R0321,<0.01,0.05,1.3,0.06,22.3,6.3,0.09,75
R0322,<0.01,0.02,0.5,0.08,9,2.4,0.05,80
R0323,<0.01,0.02,0.5,0.15,13.1,2.6,0.07,188
R0324,<0.01,0.02,0.6,0.12,13.6,2.7,0.06,113
R0325,<0.01,0.02,0.6,0.08,4.1,3.1,0.06,91
R0326,<0.01,0.06,0.9,0.11,9.2,12.3,0.06,68
R0327,<0.01,0.01,0.7,0.11,8.6,2.3,0.06,118
R0328,<0.01,0.02,0.7,0.07,37.2,2.4,0.08,80
R0329,<0.01,0.02,0.7,0.16,36,1.3,0.13,63
R0330,<0.01,0.09,1.1,0.08,280,1.4,0.11,84
R0331,<0.01,0.03,1,0.1,65.3,3.9,0.13,94
R0332,<0.01,0.06,0.8,0.11,9.6,11.9,0.06,70
R0333,<0.01,0.01,<0.1,0.01,1.4,11.3,<0.05,3
R0334,0.14,0.67,5.1,1.61,17,68.6,0.11,147
R0335,<0.01,0.02,0.6,0.12,8.7,3.3,0.05,125
R0336,<0.01,0.02,0.6,0.11,19.1,2.4,0.07,141
R0337,<0.01,0.03,0.6,0.09,16.2,5.1,0.06,88
R0338,<0.01,0.03,0.6,0.13,54.7,4.1,0.06,97
R0339,<0.01,0.02,0.8,0.15,25.1,1.6,0.07,83
R0340,<0.01,0.02,0.7,0.27,14.4,2.6,0.09,150
R0341,<0.01,0.05,1.1,0.1,76.2,2.2,0.14,84
R0342,<0.01,0.01,0.9,0.21,10.7,3.3,0.14,122
R0343,<0.01,0.02,0.7,0.18,11,2.4,0.07,111
R0344,<0.01,0.03,0.9,0.07,50.7,2.6,0.09,86
R0345,<0.01,0.04,0.9,0.03,71.4,2.5,0.07,78
R0346,<0.01,0.02,0.8,0.09,38.4,4.1,0.07,268
R0347,<0.01,0.06,1.3,0.2,140.5,1.8,0.11,97
R0348,<0.01,0.11,2.3,0.24,403,2,0.11,94
R0349,<0.01,0.07,1,0.13,158,2.4,0.06,143
R0350,<0.01,0.05,0.3,0.09,88.9,1.5,0.07,58
R0351,<0.01,0.07,1,0.14,155,2.6,0.07,148
R0352,<0.01,0.03,0.7,0.14,57.4,3,0.06,135
R0353,<0.01,0.01,0.5,0.11,16.9,4.4,0.06,179
R0354,<0.01,0.01,0.6,0.09,11.8,3.5,0.06,125
R0355,<0.01,0.02,1,0.06,16.3,6.4,0.09,83
R0356,<0.01,0.03,2.3,0.08,6.4,3.3,0.09,84
R0357,0.01,0.02,1,0.09,30.3,4.3,0.06,159
R0358,<0.01,0.02,0.7,0.12,11.3,2.3,0.1,161
R0359,<0.01,0.02,0.8,0.12,10.8,2.6,0.08,279
R0360,<0.01,0.02,0.8,0.1,16.8,2.3,0.06,111
R0361,<0.01,0.05,1,0.09,24.3,1.6,0.07,152
R0362,<0.01,0.02,0.7,0.16,9.6,3.4,0.07,127
R0363,<0.01,0.02,0.9,0.18,9.8,4.9,0.1,115
R0364,<0.01,0.02,0.8,0.14,32,2.3,0.07,115
R0365,<0.01,0.02,0.7,0.14,30,2.1,0.08,122
R0366,<0.01,0.02,0.7,0.12,33.9,3.2,0.06,112
R0367,<0.01,0.02,1,0.07,17.6,4.4,0.08,84
R0368,<0.01,0.02,0.9,0.14,19.5,4.3,0.07,133
R0369,<0.01,0.01,0.7,0.25,19.4,3.3,0.09,108
R0370,<0.01,0.01,0.6,0.08,11.4,3.1,<0.05,157
R0371,<0.01,0.02,0.9,0.17,7,5,0.09,100
R0372,<0.01,0.01,0.8,0.15,12,3.9,0.09,136
R0373,<0.01,0.02,0.9,0.12,10.1,6.8,0.06,87
R0374,<0.01,0.02,0.4,0.13,10.3,2.8,0.06,113
R0375,<0.01,0.04,1.7,0.09,121,4,0.11,104
R0376,<0.01,0.04,1.5,0.22,64.2,3.2,0.12,88
R0377,<0.01,0.05,0.8,0.04,118,1.9,0.09,73
R0378,<0.01,0.04,1.7,0.21,59.8,3.4,0.11,88
R0379,0.01,0.01,0.1,0.02,3,13.2,<0.05,4
R0380,<0.01,0.05,1.6,0.08,113,2.6,0.13,105
R0381,<0.01,0.05,2.3,0.14,75.6,2.7,0.13,79
R0382,0.48,0.1,1.8,0.73,149.5,4,0.1,56
R0383,0.01,0.05,1.1,0.13,29.8,2.3,0.12,184
R0384,0.02,0.04,1.1,0.12,41.3,4.3,0.19,176
R0385,<0.01,0.06,1.2,0.22,62.9,2.1,0.23,183
R0386,<0.01,0.02,0.9,0.07,51.2,3.6,0.1,100
R0387,<0.01,0.05,0.8,0.08,94,4.6,0.09,65
R0388,<0.01,0.05,0.8,0.12,135.5,2.6,0.1,79
R0389,<0.01,0.02,0.6,0.1,16,6.1,0.07,135
R0390,<0.01,0.05,1.9,0.45,71.9,20.2,0.07,141
R0391,0.01,0.07,2.1,0.21,27.9,13.9,0.1,96
