Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
C0128,0.64,0.12,37.2,0.64,14.2,21.1,0.18,50
C0129,0.02,0.08,9.9,0.07,13.8,3.2,0.16,16
C0130,<0.01,0.02,0.4,0.02,13.6,27,0.07,7
C0131,0.01,0.06,1.9,0.06,10.9,8.3,0.08,47
C0132,0.01,0.06,2.5,0.07,13.1,7,0.07,38
C0133,<0.01,0.05,0.4,0.02,4.9,6.1,0.06,43
C0134,<0.01,0.05,0.9,0.02,6.9,4.5,0.08,41
C0135,0.04,0.1,2.5,0.13,30.8,6.7,0.09,28
C0136,0.05,1.31,967,0.05,10,566,3.02,801
C0137,0.03,1.24,191,0.04,15.6,623,1.83,551
C0138,0.02,0.51,201,0.04,25.6,187,1.02,314
C0139,<0.01,0.06,6.1,0.02,20.8,8.5,0.09,46
C0140,<0.01,0.08,4.7,0.01,40.3,15.4,0.13,65
C0141,<0.01,0.07,5.1,0.02,31.1,10.8,0.14,51
C0142,0.01,0.06,8.5,0.05,29.7,7,0.17,45
C0143,<0.01,0.1,2.4,0.06,38.8,7.7,0.09,103
C0144,0.01,0.06,3.5,0.11,141,7.6,0.12,105
C0145,<0.01,0.09,11.9,0.17,54.4,8.9,0.16,179
C0146,0.01,0.1,8.6,0.31,66.1,11.3,0.17,121
C0147,0.01,0.09,19.5,0.22,26.6,6.5,0.35,132
C0148,0.02,0.1,37.2,0.17,41.4,7.7,0.32,109
C0149,0.01,0.09,9.9,0.12,27.9,6.1,0.19,106
C0150,<0.01,0.05,1.8,0.07,76.7,3.1,0.06,67
C0151,<0.01,0.03,1.2,0.07,39.9,2,0.05,103
C0152,0.01,0.04,3.8,0.07,70.6,2.8,0.08,56
C0153,<0.01,0.03,0.9,0.07,99.1,1.8,0.05,58
C0154,<0.01,0.03,0.5,0.01,18.4,3.6,<0.05,57
C0155,<0.01,0.03,1.2,0.03,32.8,4.5,0.09,59
C0156,<0.01,0.03,0.3,0.02,36.8,3.3,0.05,62
C0157,<0.01,0.03,0.6,0.02,42.9,4.1,0.07,64
C0158,0.01,0.02,0.8,0.01,40.9,3.3,0.09,52
C0159,<0.01,0.03,0.9,0.02,28.8,2.7,0.06,55
C0160,<0.01,0.06,0.6,0.02,42.5,3.9,0.05,42
C0161,<0.01,0.03,0.7,0.04,131,2.3,0.06,76
C0162,0.01,0.03,0.8,0.03,80.1,2.7,0.06,103
C0163,0.01,0.03,0.8,0.03,25.4,4.2,0.07,81
C0164,<0.01,0.04,2,0.03,48.5,3.3,0.07,63
C0165,<0.01,0.04,1.9,0.05,65.5,2.3,0.07,81
C0166,<0.01,0.08,6.4,0.07,41.6,10.3,0.29,152
C0167,0.01,0.12,161,0.27,42.9,50.8,0.46,261
C0168,0.02,0.04,16,0.2,10.8,4.7,0.2,119
C0169,0.01,0.12,153,0.28,55.2,53.4,0.53,288
C0170,<0.01,0.02,0.7,0.04,20,29.2,0.05,9
C0171,<0.01,0.05,4,0.13,54.9,2.2,0.12,121
C0172,0.01,0.03,2.5,0.07,48.1,2.1,0.11,53
C0173,<0.01,0.06,2.1,0.13,133.5,2,0.14,77
C0174,<0.01,0.03,2.1,0.13,47.2,2.5,0.11,66
C0175,<0.01,0.05,2.7,0.09,52.6,2.2,0.14,68
C0176,0.02,0.05,2.3,0.1,55.7,3.4,0.12,77
C0177,<0.01,0.05,2.3,0.12,88.3,2.4,0.11,65
C0178,<0.01,0.02,1.6,0.04,59.6,2,0.09,51
C0179,<0.01,0.04,3.4,0.05,63.9,2.2,0.08,56
C0180,0.01,0.04,1.5,0.07,47.9,3.1,0.07,220
C0181,<0.01,0.03,1.1,0.03,20.9,3.1,0.07,197
C0182,0.01,0.02,0.4,0.02,3.5,2.1,0.06,113
C0183,<0.01,0.04,0.6,0.03,21,2.1,0.05,116
C0184,<0.01,0.03,0.9,0.03,11.2,2.7,0.08,85
C0185,<0.01,0.05,0.8,0.03,25.7,3.3,0.07,104
C0186,<0.01,0.05,1,0.04,47,2.5,0.09,102
C0187,<0.01,0.05,1.2,0.03,84.7,1.9,0.07,48
C0188,0.001,0,2.9,0.05,13.3,4.9,0.1,37
C0189,<0.01,0.03,0.7,0.07,31.4,5.5,0.05,34
C0190,<0.01,0.04,1.2,0.18,24.5,4.7,0.08,36
C0191,<0.01,0.04,0.6,0.24,11.5,7,<0.05,60
C0192,0.01,0.07,2.3,0.68,37.2,6.1,0.11,67
C0193,<0.01,0.07,4.7,0.21,51.2,8.8,0.19,61
C0194,<0.01,0.07,6,0.12,23.7,7.6,0.19,35
C0195,0.12,0.17,27.1,2.1,60.1,6.9,0.31,25
C0196,0.08,0.1,25.9,1.13,40.2,4.8,0.19,27
C0197,<0.01,0.06,6.4,0.55,47.3,6.7,0.28,78
C0198,0.01,0.09,6.3,0.73,36.3,7.2,0.19,26
C0199,0.01,0.12,11.4,0.9,168,5.4,0.24,20
C0200,<0.01,0.11,6.3,1.59,55.5,7.2,0.3,69
C0201,<0.01,0.2,6.2,0.34,73.5,18,0.27,80
C0202,<0.01,0.06,1.6,0.17,47.8,6,0.33,108
C0203,0.93,1.52,41.4,2.81,477,67.1,0.74,191
C0204,<0.01,0.1,6.4,0.17,40.5,5.5,0.18,53
C0205,<0.01,0.1,5.8,0.28,73.1,6.7,0.3,97
C0206,<0.01,0.07,17,0.25,28.6,7,0.33,116
C0207,0.89,1.55,42.1,2.72,466,68.6,0.69,186
C0208,<0.01,0.02,0.8,0.03,24.6,29.1,0.1,8
C0209,0.12,0.41,48.9,0.94,125.5,19.4,1.03,154
C0210,<0.01,0.04,2.2,0.29,21.1,7.5,0.29,125
C0211,<0.01,0.03,0.9,0.24,13.7,5.1,0.13,133
C0212,<0.01,0.03,0.8,0.34,13,7.4,0.1,141
C0213,<0.01,0.04,1.1,0.26,15,5,0.07,152
C0214,<0.01,0.04,2.2,0.19,21.3,5,0.16,163
C0215,<0.01,0.05,22,1.28,22.5,14.9,0.17,180
C0216,<0.01,0.03,1,0.14,8.5,4.9,<0.05,92
C0217,<0.01,0.03,1.2,0.19,16,4.1,<0.05,143
C0218,<0.01,0.02,3.9,0.31,12.3,4.9,0.19,213
