ag_ppm,anomaly_id,as_ppm,au_ppm,below_detection,bi_ppm,cu_ppm,easting,interval_m,lab_id,northing,pb_ppm,project_area,sample_id,sample_type,sb_ppm,zn_ppm,,,,,
0.09,,5.6,0.01,TRUE,0.06,7,,,,13.05,11.9,Shamkya,,core,0.39,397,,,,,
0.09,,4.7,0.01,FALSE,0.05,5.8,,,,12.4,8.5,Shamkya,,core,0.28,192,,,,,
0.15,,2.6,0.01,TRUE,0.06,12.2,,,,17.4,9.1,Shamkya,,core,0.29,284,,,,,
0.11,,6.5,0.03,FALSE,0.07,6.1,,,,13.05,9.7,Shamkya,,core,0.36,167,,,,,
0.05,,7.1,0.01,FALSE,0.05,2.3,,,,1.4,3.4,Shamkya,,core,0.19,53,,,,,
0.08,,4.3,0.02,FALSE,0.06,5.7,,,,1.4,2.3,Shamkya,,core,0.2,53,,,,,
0.19,,5.3,0.01,TRUE,0.08,27.9,,,,24.3,9.5,Shamkya,,core,0.38,286,,,,,
0.07,,7,0.01,TRUE,0.08,2.5,,,,1.29,4,Shamkya,,core,0.17,50,,,,,
0.02,,0.2,0.01,TRUE,0.02,8.3,,,,4.95,26.1,Shamkya,,core,0.06,7,,,,,
0.16,,6.1,0.01,FALSE,0.09,6.9,,,,16.95,11.7,Shamkya,,core,0.28,159,,,,,
0.14,,6.1,0.01,TRUE,0.07,2.4,,,,21.3,10.2,Shamkya,,core,0.33,191,,,,,
0.18,,1.8,0.01,FALSE,0.26,28,,,,16.45,18.3,Shamkya,,core,0.18,160,,,,,
0.23,,3,0.01,FALSE,0.26,21.4,,,,13.9,11.2,Shamkya,,core,0.25,221,,,,,
0.04,,4.3,0.01,TRUE,0.06,76.5,,,,14.4,6.9,Shamkya,,core,0.16,147,,,,,
0.13,,8.2,0.01,TRUE,0.06,9.4,,,,24,6.9,Shamkya,,core,0.24,227,,,,,
0.05,,3.4,0.01,TRUE,0.07,7.4,,,,19.45,9.1,Shamkya,,core,0.14,165,,,,,
0.1,,1.3,0.01,TRUE,0.05,1.9,,,,14.45,9.9,Shamkya,,core,0.2,234,,,,,
0.08,,5.1,0.01,TRUE,0.07,2.3,,,,8.38,8.2,Shamkya,,core,0.35,271,,,,,
0.08,,3.2,0.01,TRUE,0.07,1.9,,,,9.67,7.9,Shamkya,,core,0.28,298,,,,,
0.08,,5.7,0.01,TRUE,0.11,2.6,,,,10.15,9.1,Shamkya,,core,0.29,213,,,,,
0.1,,6.8,0.01,TRUE,0.08,2.9,,,,12.7,9.9,Shamkya,,core,0.33,216,,,,,
0.12,,4,0.01,TRUE,0.06,4.8,,,,16.65,4.4,Shamkya,,core,0.21,160,,,,,
0.06,,1.6,0.01,TRUE,0.16,23.7,,,,31.7,2.8,Shamkya,,core,0.09,65,,,,,
0.04,,1.6,0.01,TRUE,0.06,15.6,,,,14.15,4.8,Shamkya,,core,0.14,20,,,,,
0.05,,0.5,0.01,TRUE,0.17,24.4,,,,8.94,4.2,Shamkya,,core,0.08,17,,,,,
0.16,,1,0.01,TRUE,0.08,13,,,,10,5.4,Shamkya,,core,0.21,21,,,,,
0.09,,1.8,0.01,TRUE,0.18,14.6,,,,16.8,8.1,Shamkya,,core,0.42,53,,,,,
0.06,,1.6,0.01,TRUE,0.13,14.5,,,,15,7.3,Shamkya,,core,0.31,39,,,,,
0.08,,6,0.01,TRUE,0.28,34.3,,,,13.1,12.8,Shamkya,,core,0.31,88,,,,,
0.11,,9.7,0.01,TRUE,0.28,26.7,,,,17.7,9.9,Shamkya,,core,0.71,29,,,,,
0.07,,6.9,0.01,TRUE,0.11,29.4,,,,16,7.6,Shamkya,,core,0.48,97,,,,,
0.07,,0.7,0.01,TRUE,0.05,22.1,,,,18.95,6.5,Shamkya,,core,0.1,14,,,,,
0.29,,5.5,0.01,TRUE,0.04,44.8,,,,15.1,140,Shamkya,,core,0.11,30,,,,,
0.27,,1.9,0.01,TRUE,0.06,24.9,,,,14.7,167,Shamkya,,core,0.07,44,,,,,
0.33,,6.3,0.01,FALSE,0.13,95.9,,,,14.85,13.5,Shamkya,,core,0.17,46,,,,,
0.41,,0.6,0.01,FALSE,0.44,83.6,,,,14.8,37.1,Shamkya,,core,0.12,44,,,,,
0.91,,11.5,0.04,FALSE,1.37,72,,,,7.28,79.8,Shamkya,,core,0.4,55,,,,,
1.08,,12.9,0.05,FALSE,1.33,67.8,,,,5.72,69,Shamkya,,core,0.37,46,,,,,
0.02,,0.4,0.01,TRUE,0.03,11,,,,6.32,27.2,Shamkya,,core,0.07,7,,,,,
0.29,,35,0.03,FALSE,2.38,32.6,,,,4.17,4,Shamkya,,core,0.18,18,,,,,
0.14,,7.9,0.01,FALSE,0.27,26,,,,6.18,2.2,Shamkya,,core,0.13,16,,,,,
0.11,,3.6,0.01,FALSE,0.33,22.5,,,,4.27,1.7,Shamkya,,core,0.14,25,,,,,
0.18,,4.4,0.01,FALSE,0.21,19,,,,4.92,3.8,Shamkya,,core,0.11,20,,,,,
0.13,,4.6,0.01,FALSE,0.14,31.2,,,,5.08,28.3,Shamkya,,core,0.12,48,,,,,
0.06,,2.4,0.01,FALSE,0.04,14.5,,,,2.94,14.5,Shamkya,,core,0.1,32,,,,,
0.08,,3.3,0.01,FALSE,0.42,60.1,,,,5.76,38,Shamkya,,core,0.08,40,,,,,
0.07,,11.5,0.03,FALSE,0.53,26.7,,,,4.23,7.3,Shamkya,,core,0.12,12,,,,,
0.14,,59.7,0.31,FALSE,2.34,68.1,,,,6.37,2.4,Shamkya,,core,0.1,36,,,,,
0.28,,19.8,0.05,FALSE,2.37,46,,,,6.75,20.5,Shamkya,,core,0.11,64,,,,,
0.2,,13.4,0.11,FALSE,0.72,24,,,,3.95,66.9,Shamkya,,core,0.14,90,,,,,
0.13,,8.1,0.07,FALSE,0.61,11.5,,,,5.01,22.5,Shamkya,,core,0.08,23,,,,,
0.15,,5,0.05,FALSE,0.27,16,,,,5.22,22.9,Shamkya,,core,0.07,47,,,,,
0.07,,11.3,0.02,FALSE,0.07,17.5,,,,0.31,3.5,Shamkya,,core,0.14,18,,,,,
0.12,,18.5,0.22,FALSE,0.24,6.8,,,,5.17,6.5,Shamkya,,core,0.12,51,,,,,
0.22,,28,0.24,FALSE,0.78,6.2,,,,2.57,25.2,Shamkya,,core,0.14,75,,,,,
0.72,,72.5,0.86,FALSE,0.18,5.5,,,,1.73,10.4,Shamkya,,core,0.18,38,,,,,
0.12,,37.2,0.64,FALSE,0.64,14.2,,,,1.82,21.1,Shamkya,,core,0.18,50,,,,,
0.08,,9.9,0.02,FALSE,0.07,13.8,,,,0.3,3.2,Shamkya,,core,0.16,16,,,,,
0.02,,0.4,0.01,TRUE,0.02,13.6,,,,5.22,27,Shamkya,,core,0.07,7,,,,,
0.06,,1.9,0.01,FALSE,0.06,10.9,,,,11,8.3,Shamkya,,core,0.08,47,,,,,
0.06,,2.5,0.01,FALSE,0.07,13.1,,,,12.15,7,Shamkya,,core,0.07,38,,,,,
0.05,,0.4,0.01,TRUE,0.02,4.9,,,,10.95,6.1,Shamkya,,core,0.06,43,,,,,
0.05,,0.9,0.01,TRUE,0.02,6.9,,,,13.05,4.5,Shamkya,,core,0.08,41,,,,,
0.1,,2.5,0.04,FALSE,0.13,30.8,,,,8.7,6.7,Shamkya,,core,0.09,28,,,,,
,An6,,,FALSE,,,,,,,,Shamkya,,chip,,,,,,,
,An6,,,FALSE,,,,,,,,Shamkya,,chip,,,,,,,
,An6,,,FALSE,,,,,543,,,Shamkya,Q001,chip,,,,,,,
,An6,,,FALSE,,,,,544,,,Shamkya,Q002,chip,,,,,,,
,An6,,,FALSE,,,,,545,,,Shamkya,Q003,chip,,,,,,,
,An6,,,FALSE,,,,,546,,,Shamkya,Q004,chip,,,,,,,
,An6,,,FALSE,,,,,547,,,Shamkya,Q005,chip,,,,,,,
,An6,,,FALSE,,,,,548,,,Shamkya,Q006,chip,,,,,,,
,An6,,,FALSE,,,,,549,,,Shamkya,Q007,chip,,,,,,,
,An6,,,FALSE,,,,,550,,,Shamkya,Q008,chip,,,,,,,
,An6,,,FALSE,,,,,551,,,Shamkya,Q009,chip,,,,,,,
,An6,,,FALSE,,,,,552,,,Shamkya,Q010,chip,,,,,,,
,An6,,,FALSE,,,,,553,,,Shamkya,Q011,chip,,,,,,,
,An6,,,FALSE,,,,,554,,,Shamkya,Q012,chip,,,,,,,
,An6,,,FALSE,,,,,555,,,Shamkya,Q013,chip,,,,,,,
,An6,,,FALSE,,,,,556,,,Shamkya,Q014,chip,,,,,,,
,An6,,,FALSE,,,,,557,,,Shamkya,Q015,chip,,,,,,,
,An6,,,FALSE,,,,,558,,,Shamkya,Q016,chip,,,,,,,
,An6,,,FALSE,,,,,559,,,Shamkya,Q017,chip,,,,,,,
,An6,,,FALSE,,,,,560,,,Shamkya,Q018,chip,,,,,,,
,An6,,,FALSE,,,,,561,,,Shamkya,Q019,chip,,,,,,,
,An6,,,FALSE,,,,,562,,,Shamkya,Q020,chip,,,,,,,
,An6,,,FALSE,,,,,563,,,Shamkya,Q021,chip,,,,,,,
,An6,,,FALSE,,,,,564,,,Shamkya,Q022,chip,,,,,,,
,An6,,,FALSE,,,,,565,,,Shamkya,Q023,chip,,,,,,,
,An6,,,FALSE,,,,,566,,,Shamkya,Q024,chip,,,,,,,
,An6,,,FALSE,,,,,567,,,Shamkya,Q025,chip,,,,,,,
,An6,,,FALSE,,,,,568,,,Shamkya,Q026,chip,,,,,,,
,An6,,,FALSE,,,,,569,,,Shamkya,Q027,chip,,,,,,,
,An6,,,FALSE,,,,,570,,,Shamkya,Q028,chip,,,,,,,
,An6,,,FALSE,,,,,571,,,Shamkya,Q029,chip,,,,,,,
,An6,,,FALSE,,,,,572,,,Shamkya,Q030,chip,,,,,,,
,An6,,,FALSE,,,,,573,,,Shamkya,Q031,chip,,,,,,,
,An6,,,FALSE,,,,,574,,,Shamkya,Q032,chip,,,,,,,
,An6,,,FALSE,,,,,575,,,Shamkya,Q033,chip,,,,,,,
,An6,,,FALSE,,,,,576,,,Shamkya,Q034,chip,,,,,,,
,An6,,,FALSE,,,,,577,,,Shamkya,Q035,chip,,,,,,,
,An6,,,FALSE,,,,,578,,,Shamkya,Q036,chip,,,,,,,
,An6,,,FALSE,,,,,579,,,Shamkya,Q037,chip,,,,,,,
,An6,,,FALSE,,,,,580,,,Shamkya,Q038,chip,,,,,,,
,An6,,,FALSE,,,,,581,,,Shamkya,Q039,chip,,,,,,,
,An6,,,FALSE,,,,,582,,,Shamkya,Q040,chip,,,,,,,
,An6,,,FALSE,,,,,583,,,Shamkya,Q041,chip,,,,,,,
,An6,,,FALSE,,,,,584,,,Shamkya,Q042,chip,,,,,,,
,An6,,,FALSE,,,,,585,,,Shamkya,Q043,chip,,,,,,,
,An6,,,FALSE,,,,,586,,,Shamkya,Q044,chip,,,,,,,
,An6,,,FALSE,,,,,587,,,Shamkya,Q045,chip,,,,,,,
,An6,,,FALSE,,,,,588,,,Shamkya,Q046,chip,,,,,,,
,An6,,,FALSE,,,,,589,,,Shamkya,Q047,chip,,,,,,,
,An6,,,FALSE,,,,,590,,,Shamkya,Q048,chip,,,,,,,
,An6,,,FALSE,,,,,591,,,Shamkya,Q049,chip,,,,,,,
,An6,,,FALSE,,,,,592,,,Shamkya,Q050,chip,,,,,,,
,An6,,,FALSE,,,,,593,,,Shamkya,Q051,chip,,,,,,,
,An6,,,FALSE,,,,,594,,,Shamkya,Q052,chip,,,,,,,
,An6,,,FALSE,,,,,595,,,Shamkya,Q053,chip,,,,,,,
,An6,,,FALSE,,,,,596,,,Shamkya,Q054,chip,,,,,,,
,An6,,,FALSE,,,,,597,,,Shamkya,Q055,chip,,,,,,,
,An6,,,FALSE,,,,,598,,,Shamkya,Q056,chip,,,,,,,
,An6,,,FALSE,,,,,599,,,Shamkya,Q057,chip,,,,,,,
,An6,,,FALSE,,,,,600,,,Shamkya,Q058,chip,,,,,,,
,An6,,,FALSE,,,,,601,,,Shamkya,Q059,chip,,,,,,,
,An6,,,FALSE,,,,,602,,,Shamkya,Q060,chip,,,,,,,
,An6,,,FALSE,,,,,603,,,Shamkya,Q061,chip,,,,,,,
,An6,,,FALSE,,,,,604,,,Shamkya,Q062,chip,,,,,,,
,An6,,,FALSE,,,,,605,,,Shamkya,Q063,chip,,,,,,,
,An6,,,FALSE,,,,,606,,,Shamkya,Q064,chip,,,,,,,
,An6,,,FALSE,,,,,607,,,Shamkya,Q065,chip,,,,,,,
,An6,,,FALSE,,,,,608,,,Shamkya,Q066,chip,,,,,,,
