sample_id,sb_as_ratio,cu_zn_ratio,au_ppm
RC.BH19.077,0.023636363636363636,0.11206896551724138,0.01
RC.BH19.078,0.025000000000000005,0.0663157894736842,0.005
RC.BH19.079,0.034210526315789476,0.15459770114942528,0.01
RC.BH19.080,0.036956521739130443,0.09176470588235294,0.005
RC.BH19.081,0.024,0.017037037037037035,0.01
RC.BH19.082,0.06,0.048214285714285716,0.005
RC.BH19.083,0.044444444444444446,0.46991150442477875,0.01
RC.BH20.017,0.0625,0.18214285714285713,0.005
RC.BH20.018,0.08571428571428572,0.23461538461538461,0.005
RC.BH20.019,0.09999999999999999,0.4909090909090909,0.01
RC.BH20.020,0.08750000000000001,0.7148648648648649,0.005
RC.BH20.021,0.026000000000000002,1.6016393442622952,0.01
RC.BH20.022,0.03928571428571429,0.542,0.01
RC.BH20.023,0.0391304347826087,0.512280701754386,0.01
RC.BH20.024,0.04210526315789474,0.46329113924050636,0.01
RC.BH20.025,0.008759124087591242,0.29333333333333333,0.01
RC.BH20.026,0.004044943820224719,0.4432432432432432,0.08
,0.005236907730673316,0.3030888030888031,0.67
RC.BH20.027,0.06,0.5402597402597403,0.01
RC.BH20.028,0.13333333333333333,1.2714285714285714,0.01
RC.BH20.029,0.125,0.2878787878787879,0.01
RC.BH20.030,0.14,0.24957264957264957,0.01
RC.BH20.031,0.17142857142857143,0.19423076923076923,0.01
RC.BH20.032,0.06666666666666667,0.2923076923076923,0.01
RC.BH20.033,0.03,0.1760869565217391,0.05
RC.BH20.034,0.03333333333333333,0.4102040816326531,0.02
RC.BH20.035,0.007202216066481994,3.479338842975207,5.93
RC.BH20.036,0.0045871559633027525,0.29266409266409266,0.82
,0.08333333333333334,0.26666666666666666,0.01
RC.BH20.037,0.006382978723404255,0.9106382978723404,0.1
RC.BH20.038,0.024242424242424246,0.35660377358490564,0.01
RC.BH20.039,0.009183673469387754,0.1372340425531915,0.01
RC.BH20.040,0.013131313131313131,0.7818181818181819,0.01
RC.BH20.041,0.013043478260869565,0.22659574468085106,0.005
RC.BH20.042,0.020634920634920638,0.4524193548387097,0.01
RC.BH20.043,0.015254237288135592,0.6311111111111111,0.005
RC.BH20.044,0.01764705882352941,0.32,0.01
RC.BH20.045,0.045454545454545456,0.11067961165048544,0.005
RC.BH20.046,0.02888888888888889,0.13440860215053763,0.005
RC.BH20.047,0.023076923076923078,0.1083969465648855,0.005
RC.BH20.048,0.05333333333333334,0.16947368421052633,0.005
RC.BH20.049,0.04468085106382978,0.2350649350649351,0.005
,0.012903225806451611,0.8549295774647888,0.01
RC.BH20.050,0.045454545454545456,0.39,0.005
RC.BH20.051,0.03829787234042553,0.6324675324675325,0.01
RC.BH20.052,0.047058823529411764,0.588421052631579,0.005
RC.BH20.053,0.039024390243902446,0.5755905511811024,0.005
RC.BH20.054,0.020689655172413793,0.08620689655172414,0.06
RC.BH20.055,0.027083333333333334,0.25816326530612244,0.005
,0.125,0.44000000000000006,0.005
RC.BH20.056,0.009999999999999998,0.24329896907216497,0.005
RC.BH20.057,0.008977556109725685,1.8333333333333333,0.01
RC.BH20.058,0.005555555555555556,0.7397260273972602,0.01
RC.BH20.059,0.016577540106951873,0.43899371069182386,0.005
RC.BH20.060,0.024489795918367346,0.32781954887218046,0.005
RC.BH20.061,0.052000000000000005,0.13037974683544304,0.005
RC.BH20.062,0.07272727272727272,0.07365269461077845,0.01
RC.BH20.063,0.08333333333333333,0.06580645161290322,0.01
RC.BH20.064,0.05396825396825397,0.23053892215568864,0.01
RC.BH20.065,0.0923076923076923,0.06282051282051282,0.005
RC.BH20.066,0.08636363636363635,0.4908256880733945,0.005
RC.BH20.067,0.027272727272727275,0.23157894736842105,0.005
RC.BH20.068,0.012,0.421978021978022,0.01
RC.BH20.069,0.015231788079470199,0.6397435897435897,0.005
RC.BH20.070,0.014545454545454545,0.911864406779661,0.005
RC.BH20.071,0.041666666666666664,0.4691119691119691,0.005
RC.BH20.072,0.03181818181818182,0.8741071428571429,0.005
,0.030769230769230774,0.2396039603960396,0.01
RC.BH20.073,0.011392405063291138,0.8703125,0.005
RC.BH20.074,0.02702702702702703,0.7166666666666667,0.005
RC.BH20.075,0.029032258064516127,0.4061224489795918,0.005
RC.BH20.076,0.0393939393939394,0.39869281045751637,0.005
RC.BH20.077,0.03064516129032258,1.0,0.005
RC.BH20.078,0.028205128205128206,0.14326241134751772,0.005
RC.BH20.079,0.043333333333333335,0.09298245614035087,0.005
RC.BH20.080,0.041509433962264156,0.408641975308642,0.005
RC.BH20.081,0.0625,0.07701149425287357,0.005
RC.BH20.082,0.12,0.05641025641025642,0.005
RC.BH20.083,0.08750000000000001,0.05918367346938775,0.005
RC.BH20.084,0.10000000000000002,0.04396551724137931,0.005
RC.BH20.085,0.10000000000000002,0.09743589743589744,0.005
RC.BH20.086,0.054545454545454536,0.2822222222222222,0.01
RC.BH20.087,0.07647058823529412,0.12033898305084745,0.005
RC.BH20.088,0.09473684210526316,0.2975609756097561,0.005
RC.BH20.089,0.12222222222222222,0.0911764705882353,0.005
RC.BH20.090,0.0642857142857143,0.14925373134328357,0.005
RC.BH20.091,0.07083333333333335,0.11875,0.005
RC.BH20.092,0.07272727272727272,0.13243243243243244,0.005
RC.BH21.008,0.054545454545454536,0.5268518518518518,0.005
RC.BH21.009,0.10625,0.19999999999999998,0.005
RC.BH21.010,0.04,0.7772727272727272,0.005
RC.BH21.011,0.04210526315789474,0.6327272727272727,0.005
,0.009855072463768117,3.920245398773006,0.8
RC.BH21.012,0.04655172413793104,0.6833333333333333,0.005
RC.BH21.013,0.05853658536585366,0.19599999999999998,0.005
RC.BH21.014,0.06904761904761904,0.2727272727272727,0.01
RC.BH21.015,0.0368421052631579,0.30925925925925923,0.005
RC.BH21.016,0.04883720930232558,0.878125,0.005
RC.BH21.017,0.09090909090909091,0.6531914893617021,0.005
RC.BH21.018,0.08333333333333333,0.1856353591160221,0.005
RC.BH21.019,0.037096774193548385,0.677570093457944,0.01
RC.BH21.020,0.017040358744394617,18.036363636363635,1.8
RC.BH21.021,0.009880239520958085,3.9696969696969697,0.48
,0.0625,1.0,0.005
RC.BH21.022,0.020967741935483872,0.4371900826446281,0.07
RC.BH21.023,0.007835820895522387,0.2048076923076923,0.01
RC.BH21.024,0.011111111111111112,0.16896551724137931,0.49
RC.BH21.025,0.010891089108910892,0.24186046511627907,0.04
RC.BH21.026,0.010891089108910892,1.1195652173913044,0.01
RC.BH21.027,0.018867924528301886,0.7892857142857143,0.01
RC.BH21.028,0.007100591715976332,0.5456521739130435,0.06
RC.BH21.029,0.011267605633802818,0.92,0.57
RC.BH21.030,0.01,0.7364016736401674,3.27
RC.BH21.031,0.055,0.3363057324840764,0.08
RC.BH21.032,0.1285714285714286,0.11985815602836879,0.01
RC.BH21.033,0.08666666666666667,0.0783673469387755,0.005
RC.BH21.034,0.04285714285714285,0.15944055944055943,0.005
,0.0044921875,0.178743961352657,0.07
RC.BH21.035,0.047058823529411764,0.4371621621621622,0.005
RC.BH21.036,0.043750000000000004,0.10617283950617283,0.005
RC.BH21.037,0.03235294117647059,0.1345415778251599,0.01
RC.BH21.038,0.057534246575342465,0.5150943396226415,0.02
RC.BH21.039,0.017910447761194027,0.30612244897959184,0.01
RC.BH21.040,0.009760956175298804,0.31920529801324504,0.01
RC.BH21.041,0.004485981308411215,0.18396226415094338,0.03
,0.08333333333333334,0.3833333333333333,0.01
RC.BH21.042,0.06999999999999999,0.09848484848484848,0.005
RC.BH21.043,0.02987012987012987,0.2727272727272727,0.01
RC.BH21.044,0.01886792452830189,0.20053763440860214,0.005
RC.BH21.045,0.02916666666666667,0.3875,0.005
RC.BH21.046,0.04,0.18074074074074073,0.005
RC.BH21.047,0.01875,2.4921052631578946,0.005
RC.BH21.048,0.006956521739130435,2.8378378378378377,0.005
RC.BH21.049,0.038461538461538464,2.485294117647059,0.005
RC.BH21.050,0.04736842105263158,1.724390243902439,0.005
RC.BH21.051,0.015555555555555557,0.9452380952380953,0.005
RC.BH21.052,0.024999999999999998,0.8514285714285714,0.005
RC.BH21.053,0.03571428571428572,0.16833333333333333,0.005
RC.BH21.054,0.052631578947368425,0.185,0.005
RC.BH22.010,0.0411764705882353,0.6598290598290598,0.005
,0.015714285714285715,0.34564102564102567,0.31
RC.BH22.011,0.08571428571428572,0.2806451612903226,0.005
RC.BH22.012,0.011475409836065573,0.375,0.005
RC.BH22.013,0.01818181818181818,0.28181818181818186,0.01
RC.BH22.014,0.054545454545454536,0.24545454545454548,0.005
RC.BH22.015,0.019047619047619046,0.3609756097560976,0.005
RC.BH22.016,0.02753623188405797,1.3064516129032258,0.01
RC.BH22.017,0.043750000000000004,1.9454545454545453,0.005
RC.BH22.018,0.09,0.3433962264150943,0.005
RC.BH22.019,0.06470588235294118,0.49795918367346936,0.005
RC.BH22.020,0.07058823529411765,0.37719298245614036,0.01
RC.BH22.021,0.09,0.5434782608695652,0.005
RC.BH22.022,0.06923076923076922,0.725,0.005
RC.BH22.023,0.06666666666666667,1.4696969696969697,0.005
RC.BH22.024,0.028440366972477062,0.8988372093023256,0.005
RC.BH22.025,0.010169491525423728,2.2115384615384617,0.08
RC.BH22.026,0.0154320987654321,1.8285714285714287,0.02
RC.BH22.027,0.011764705882352941,0.8403846153846154,0.005
RC.BH22.028,0.027142857142857142,0.7847826086956522,0.005
RC.BH22.029,0.023880597014925373,1.4064516129032258,0.005
RC.BH22.030,0.023076923076923078,1.0467741935483872,0.005
RC.BH22.031,0.0203125,0.9410256410256411,0.005
RC.BH22.032,0.03220338983050847,0.5115942028985507,0.005
RC.BH22.033,0.016129032258064516,0.5016393442622951,0.02
RC.BH22.034,0.016591928251121074,0.36874999999999997,0.2
,0.035849056603773584,0.07041420118343196,0.01
RC.BH22.035,0.015521628498727735,1.15,0.11
RC.BH22.036,0.0194980694980695,0.8227272727272726,0.05
RC.BH22.037,0.022727272727272728,0.6134969325153374,0.005
RC.BH22.038,0.10000000000000002,0.8100840336134454,0.005
